,m/z,rt,into
"[74, ]", 400.3125541, 96.9103000, 18468.5957031
"[75, ]", 400.3125541, 98.4171000, 16937.2812500
"[76, ]", 400.3125541, 100.1170000, 16619.8457031
"[77, ]", 400.3125541, 101.8230000, 16973.1875000
"[78, ]", 400.3125541, 103.5220000, 19177.8027344
"[79, ]", 400.3125541, 105.2310000, 19820.1523438
"[80, ]", 400.3125541, 106.9460000, 16408.4218750
"[81, ]", 400.3125541, 108.6440000, 16340.0683594
"[82, ]", 400.3125541, 110.1470000, 18317.3339844
"[83, ]", 400.3125541, 111.8510000, 16688.0058594
"[84, ]", 400.3125541, 113.5560000, 16173.7070313
"[85, ]", 400.3125541, 115.0610000, 14252.2978516
"[86, ]", 400.3125541, 116.7660000, 17535.3828125
"[87, ]", 400.3125541, 118.4660000, 18726.5175781
"[88, ]", 400.3125541, 120.1790000, 14847.5136719
"[89, ]", 400.3125541, 121.6890000, 18842.8789063
"[90, ]", 400.3125541, 123.3860000, 16847.3652344
"[91, ]", 400.3125541, 124.8890000, 13118.0527344
"[92, ]", 400.3125541, 126.5940000, 15802.9130859
"[93, ]", 400.3125541, 128.2960000, 17515.6933594
"[94, ]", 400.3125541, 129.9980000, 18044.2656250
"[95, ]", 400.3125541, 131.5060000, 19409.8476563
"[96, ]", 400.3125541, 133.0080000, 11529.0996094
"[97, ]", 400.3125541, 134.7140000, 13057.9833984
"[98, ]", 400.3125541, 136.2200000, 13057.5693359
"[99, ]", 400.3125541, 137.7220000, 15383.4472656
"[100, ]", 400.3125541, 139.4220000, 16794.6406250
"[101, ]", 400.3125541, 140.9400000, 14475.9150391
"[102, ]", 400.3125541, 142.4480000, 17798.6777344
"[103, ]", 400.3125541, 143.7810000, 20776.8828125
"[104, ]", 400.3125541, 145.2830000, 18359.8750000
"[105, ]", 400.3125541, 146.9850000, 16475.0546875
"[106, ]", 400.3125541, 148.6850000, 14764.5830078
"[107, ]", 400.3125541, 150.3870000, 15091.2646484
"[108, ]", 400.3125541, 152.0930000, 16905.2500000
"[109, ]", 400.3125541, 153.5950000, 19237.3613281
"[110, ]", 400.3125541, 155.0990000, 16197.7382813
"[111, ]", 400.3125541, 156.9980000, 14802.9453125
"[112, ]", 400.3125541, 158.5120000, 14507.3847656
"[113, ]", 400.3125541, 160.2120000, 15349.3701172
"[114, ]", 400.3125541, 161.9150000, 18563.4316406
"[115, ]", 400.3125541, 163.4200000, 18646.8378906
"[116, ]", 400.3125541, 164.9280000, 13455.6767578
"[117, ]", 400.3125541, 166.6270000, 17071.3417969
"[118, ]", 400.3125541, 168.3260000, 18514.9550781
"[119, ]", 400.3125541, 169.8280000, 19023.3496094
"[120, ]", 400.3125541, 171.5330000, 14530.9501953
"[121, ]", 400.3125541, 173.0320000, 19612.0449219
"[122, ]", 400.3125541, 174.5510000, 19082.0566406
"[123, ]", 400.3125541, 176.0540000, 17527.1914063
"[124, ]", 400.3125541, 177.7520000, 17965.0371094
"[125, ]", 400.3125541, 179.2530000, 16983.7792969
