fromNode,toNode,value,interaction_type,selfLoop,label,guid
C04404,C03767,0.25,Ms1,False,,1111
C00637,C00955,0.0625,Ms1,False,,1112
C20327,C17235,0.0625,Ms1,False,,1113
C20646,C20895,0.0625,Ms1,False,,1114
C20535,C20531,0.25,Ms1,False,,1115
C00779,C01173,0.98043800176824,Ms2,False,,1116
C01173,C00779,0.98043800176824,Ms2,False,,1117
C20279,C20278,0.25,Ms1,False,,1118
C01727,C00255,0.25,Ms1,False,,1119
C14831,C07354,0.00813101494528241,Ms2,False,,112
C00601,C02083,0.0273040330924891,Ms2,False,,1120
C02083,C00601,0.0291296885390582,Ms2,False,,1121
C00601,C20782,0.0273040330924891,Ms2,False,,1122
C02378,C06593,3.79880888089315E-06,Ms1,False,,1123
C05962,C05961,0.25,Ms1,False,,1124
C04578,C21678,0.25,Ms1,False,,1125
C00740,C00065,0.931876942168482,Ms2,False,,1126
C00065,C00740,0.941384928557022,Ms2,False,,1127
C00148,C20656,0.243986006684447,Ms1,False,,1128
C14827,C19827,0.0327788796022723,Ms1,False,,1129
C00601,C07086,0.232869789735189,Ms1,False,,113
C14831,C20186,0.0327788796022723,Ms1,False,,1130
C14831,C07354,0.0327788796022723,Ms1,False,,1131
C20186,C14831,0.0592367692889229,Ms1,False,,1132
C00123,C02486,1,Ms2,False,,1133
C00407,C21092,1,Ms2,False,,1134
C21092,C00407,1,Ms2,False,,1135
C02486,C00123,1,Ms2,False,,1136
C06593,C02378,0.0625,Ms2,False,,1137
C02825,C03887,0.25,Ms1,False,,1138
C01255,C04277,0.995400626411848,Ms2,False,,1139
C07113,C07189,0.015625,Ms1,False,,114
C20515,C20514,0.0625,Ms1,False,,1140
C04277,C01255,0.932789576408481,Ms2,False,,1141
C03284,C06002,0.000244140625,Ms1,False,,1142
C01205,C00349,0.000244140625,Ms1,False,,1143
C15987,C00232,0.000244140625,Ms1,False,,1144
C00729,C00783,0.0625,Ms1,False,,1145
C03690,C03343,1.45519152283669E-11,Ms1,False,,1146
C20313,C00183,0.0009765625,Ms1,False,,1147
C00990,C00431,0.0009765625,Ms1,False,,1148
C01173,C00779,1,Ms2,False,,1149
C07446,C07054,0.015625,Ms1,False,,115
C00779,C01173,1,Ms2,False,,1150
C11544,C00159,0.25,Ms1,False,,1151
C02991,C01934,0.25,Ms1,False,,1152
C03827,C01720,0.25,Ms1,False,,1153
C06159,C01680,0.25,Ms1,False,,1154
C07481,C07130,0.25,Ms1,False,,1155
C07481,C07480,0.25,Ms1,False,,1156
C07481,C13747,0.25,Ms1,False,,1157
C03660,C00137,0.25,Ms1,False,,1158
C19565,C19569,0.25,Ms1,False,,1159
C06758,C01454,0.015625,Ms1,False,,116
C00492,C00095,0.25,Ms1,False,,1160
C00492,C00124,0.25,Ms1,False,,1161
C01594,C00221,0.25,Ms1,False,,1162
C21475,C21476,0.25,Ms1,False,,1163
C06331,C06332,0.25,Ms1,False,,1164
C06338,C06339,0.25,Ms1,False,,1165
C00761,C00031,0.25,Ms1,False,,1166
C00025,C01047,0.0625,Ms1,False,,1167
C01250,C00437,0.0625,Ms1,False,,1168
C14801,C14800,0.0586043493002045,Ms1,False,,1169
C00483,C03765,0.176987816262546,Ms2,False,,117
C14800,C14801,0.366120229941998,Ms2,False,,1170
C02083,C00601,0.0230689080338368,Ms2,False,,1171
C00601,C02083,0.0246113862990701,Ms2,False,,1172
C00601,C20782,0.0246113862990701,Ms2,False,,1173
C02378,C06593,1.48815322945088E-08,Ms1,False,,1174
C04083,C01804,0.25,Ms1,False,,1175
C00954,C04211,0.25,Ms1,False,,1176
C20519,C20520,0.0625,Ms1,False,,1177
C00062,C03296,0.12901802405801,Ms1,False,,1178
C00740,C00065,0.921188405105472,Ms2,False,,1179
C07209,C07211,0.015625,Ms1,False,,118
C00065,C00740,0.911884403573973,Ms2,False,,1180
C05794,C05790,0.25,Ms1,False,,1181
C00148,C20656,0.23325632169403,Ms1,False,,1182
C00407,C21092,1,Ms2,False,,1183
C21092,C00407,1,Ms2,False,,1184
C00123,C02486,1,Ms2,False,,1185
C02486,C00123,1,Ms2,False,,1186
C06593,C02378,0.0625,Ms2,False,,1187
C14827,C19827,8.23896618477908E-07,Ms2,False,,1188
C19827,C14827,2.82893898595304E-06,Ms2,False,,1189
C07214,C07215,0.015625,Ms1,False,,119
C20186,C14831,1.48891525576476E-06,Ms2,False,,1190
C14831,C20186,8.23896618477908E-07,Ms2,False,,1191
C14831,C07354,8.23896618477908E-07,Ms2,False,,1192
C15987,C00232,8.88178419700125E-16,Ms1,False,,1193
C00047,C04211,0.0625,Ms1,False,,1194
C03690,C03343,2.3283064365387E-10,Ms1,False,,1195
C01173,C00779,0.98043800176824,Ms2,False,,1196
C00779,C01173,0.98043800176824,Ms2,False,,1197
C05653,C11503,0.25,Ms1,False,,1198
C01680,C06159,0.25,Ms1,False,,1199
C01454,C06758,0.543270839626636,Ms2,False,,12
C00183,C20313,0.0625,Ms1,False,,120
C01720,C03827,0.25,Ms1,False,,1200
C01934,C03979,0.25,Ms1,False,,1201
C00109,C02488,0.25,Ms1,False,,1202
C01934,C02991,0.25,Ms1,False,,1203
C01720,C18028,0.25,Ms1,False,,1204
C06343,C06330,0.25,Ms1,False,,1205
C07326,C06485,0.25,Ms1,False,,1206
C06338,C06342,0.25,Ms1,False,,1207
C00763,C00431,0.232943276823976,Ms1,False,,1208
C00232,C15987,5.82076609134674E-11,Ms1,False,,1209
C00779,C01173,1,Ms2,False,,121
C00049,C04540,0.237159444292567,Ms1,False,,1210
C00148,C00763,0.94185040111002,Ms2,False,,1211
C00763,C00148,0.94185040111002,Ms2,False,,1212
C00601,C02083,0.0175155851510211,Ms2,False,,1213
C00601,C20782,0.0175155851510211,Ms2,False,,1214
C02083,C00601,0.0186867463242619,Ms2,False,,1215
C00568,C00921,0.015625,Ms1,False,,1216
C11807,C01761,0.25,Ms1,False,,1217
C20353,C20614,0.25,Ms1,False,,1218
C02378,C06593,2.37425555055822E-07,Ms1,False,,1219
C01173,C00779,1,Ms2,False,,122
C05427,C00353,0.25,Ms1,False,,1220
C06557,C06556,0.25,Ms1,False,,1221
C14800,C14040,0.25,Ms1,False,,1222
C00944,C00296,0.25,Ms1,False,,1223
C16715,C06414,0.25,Ms1,False,,1224
C01717,C06325,0.25,Ms1,False,,1225
C03844,C01295,0.25,Ms1,False,,1226
C05660,C05635,0.25,Ms1,False,,1227
C16595,C16596,0.25,Ms1,False,,1228
C06726,C06725,0.25,Ms1,False,,1229
C03690,C03343,2.27373675443232E-13,Ms1,False,,123
C00954,C21619,0.25,Ms1,False,,1230
C03227,C00328,0.25,Ms1,False,,1231
C00596,C04479,0.25,Ms1,False,,1232
C02378,C06593,0.0625,Ms2,False,,1233
C21306,C21307,0.25,Ms1,False,,1234
C01249,C01111,0.25,Ms1,False,,1235
C00062,C00792,0.165224188563503,Ms2,False,,1236
C00792,C00062,0.165224188563503,Ms2,False,,1237
C00123,C02710,0.25,Ms1,False,,1238
C00140,C01133,0.25,Ms1,False,,1239
C00148,C20656,0.231647908144854,Ms1,False,,124
C00272,C03684,0.25,Ms1,False,,1240
C02953,C00835,0.25,Ms1,False,,1241
C00272,C06313,0.25,Ms1,False,,1242
C14827,C19827,2.1617531977659E-06,Ms2,False,,1243
C19827,C14827,6.29586271908622E-07,Ms2,False,,1244
C20186,C14831,6.29586271908622E-07,Ms2,False,,1245
C14831,C20186,1.13776484092942E-06,Ms2,False,,1246
C14831,C07354,1.13776484092942E-06,Ms2,False,,1247
C15987,C00232,2.22044604925031E-16,Ms1,False,,1248
C00740,C00065,0.898488163790247,Ms2,False,,1249
C15987,C00232,6.103515625E-05,Ms1,False,,125
C00065,C00740,0.90765548282671,Ms2,False,,1250
C08491,C21385,0.0009765625,Ms1,False,,1251
C12457,C12456,0.0625,Ms1,False,,1252
C04000,C04561,0.0625,Ms1,False,,1253
C08491,C21385,0.0625,Ms1,False,,1254
C00049,C03139,0.25,Ms1,False,,1255
C16586,C16587,0.25,Ms1,False,,1256
C00078,C03230,0.25,Ms1,False,,1257
C02172,C02298,0.25,Ms1,False,,1258
C01295,C03365,0.25,Ms1,False,,1259
C01205,C00349,6.103515625E-05,Ms1,False,,126
C01295,C03844,0.25,Ms1,False,,1260
C00637,C00954,0.25,Ms1,False,,1261
C07130,C07481,0.25,Ms1,False,,1262
C00137,C03659,0.25,Ms1,False,,1263
C00137,C03660,0.25,Ms1,False,,1264
C00137,C06352,0.25,Ms1,False,,1265
C06332,C06331,0.25,Ms1,False,,1266
C06332,C11504,0.25,Ms1,False,,1267
C11816,C09248,0.25,Ms1,False,,1268
C02356,C21015,0.0625,Ms1,False,,1269
C00073,C00109,0.247134465801633,Ms1,False,,127
C00334,C15767,0.0625,Ms1,False,,1270
C03296,C03415,0.0625,Ms1,False,,1271
C21385,C08491,0.015625,Ms1,False,,1272
C00232,C15987,1.45519152283669E-11,Ms1,False,,1273
C00763,C00431,0.232630652080117,Ms1,False,,1274
C21080,C02679,0.00305462515259605,Ms1,False,,1275
C02378,C06593,9.300957684068E-10,Ms1,False,,1276
C00763,C00148,0.939233421772288,Ms2,False,,1277
C00148,C00763,0.939233421772288,Ms2,False,,1278
C02083,C00601,0.0148471489777283,Ms2,False,,1279
C03284,C06002,6.103515625E-05,Ms1,False,,128
C00601,C02083,0.0158398879736633,Ms2,False,,1280
C00601,C20782,0.0158398879736633,Ms2,False,,1281
C06593,C02378,3.70977429774721E-09,Ms1,False,,1282
C21092,C00407,0.619027870241513,Ms2,False,,1283
C00123,C02486,0.619027870241513,Ms2,False,,1284
C00407,C21092,0.619027870241513,Ms2,False,,1285
C02486,C00123,0.619027870241513,Ms2,False,,1286
C00148,C20656,0.25,Ms1,False,,1287
C00062,C00792,0.154043676535963,Ms2,False,,1288
C00123,C02710,0.25,Ms1,False,,1289
C00601,C02083,0.89541813108177,Ms2,False,,129
C00792,C00062,0.154043676535963,Ms2,False,,1290
C15987,C00232,9.5367431640625E-07,Ms1,False,,1291
C20186,C14831,9.957420779265E-07,Ms2,False,,1292
C19827,C14827,1.89190994806035E-06,Ms2,False,,1293
C14827,C19827,5.50997464565859E-07,Ms2,False,,1294
C14831,C20186,5.50997464565859E-07,Ms2,False,,1295
C14831,C07354,5.50997464565859E-07,Ms2,False,,1296
C02378,C01255,0.25,Ms1,False,,1297
C20515,C20514,0.015625,Ms1,False,,1298
C01255,C04277,0.23319739410212,Ms1,False,,1299
C07215,C07214,0.543270839626636,Ms2,False,,13
C00601,C20782,0.89541813108177,Ms2,False,,130
C03690,C03343,3.63797880709171E-12,Ms1,False,,1300
C08491,C21385,0.015625,Ms1,False,,1301
C04000,C04561,0.015625,Ms1,False,,1302
C00049,C00438,0.25,Ms1,False,,1303
C00062,C06655,0.0693250194024693,Ms1,False,,1304
C00062,C04137,0.0693250194024693,Ms1,False,,1305
C20520,C20519,0.25,Ms1,False,,1306
C21385,C08491,0.00390625,Ms1,False,,1307
C00232,C15987,9.5367431640625E-07,Ms1,False,,1308
C02356,C21015,0.015625,Ms1,False,,1309
C07211,C07209,0.0339544274766647,Ms1,False,,131
C03296,C03415,0.0322545060145025,Ms1,False,,1310
C00334,C15767,0.015625,Ms1,False,,1311
C21385,C08491,0.0625,Ms1,False,,1312
C19574,C19580,0.25,Ms1,False,,1313
C19574,C19577,0.25,Ms1,False,,1314
C04561,C04000,0.25,Ms1,False,,1315
C12457,C12458,0.25,Ms1,False,,1316
C21080,C02679,0.00285934309038233,Ms1,False,,1317
C02378,C06593,1.48390971909889E-08,Ms1,False,,1318
C19579,C19582,0.25,Ms1,False,,1319
C20782,C00601,0.839299268507107,Ms2,False,,132
C10858,C12449,0.25,Ms1,False,,1320
C12449,C10858,0.25,Ms1,False,,1321
C00398,C09089,0.25,Ms1,False,,1322
C03765,C01869,0.25,Ms1,False,,1323
C00601,C02083,0.0122060837439784,Ms2,False,,1324
C02083,C00601,0.0130222306916835,Ms2,False,,1325
C00601,C20782,0.0122060837439784,Ms2,False,,1326
C19569,C19567,0.25,Ms1,False,,1327
C02991,C02431,0.25,Ms1,False,,1328
C06485,C07326,0.25,Ms1,False,,1329
C07215,C07214,0.0339544274766647,Ms1,False,,133
C06485,C16538,0.25,Ms1,False,,1330
C02378,C06593,0.0625,Ms2,False,,1331
C00065,C00740,0.994099754239979,Ms2,False,,1332
C00255,C04332,0.25,Ms1,False,,1333
C09755,C08247,0.25,Ms1,False,,1334
C00507,C19758,0.562131533360201,Ms2,False,,1335
C00507,C20354,0.562131533360201,Ms2,False,,1336
C20517,C20516,0.25,Ms1,False,,1337
C15987,C00232,5.55111512312578E-17,Ms1,False,,1338
C00584,C04707,0.25,Ms1,False,,1339
C07189,C07113,0.0339544274766647,Ms1,False,,134
C00696,C04758,0.25,Ms1,False,,1340
C01312,C04835,0.25,Ms1,False,,1341
C05933,C00327,0.0625,Ms1,False,,1342
C16650,C16658,0.0625,Ms1,False,,1343
C00596,C07731,0.25,Ms1,False,,1344
C00148,C00763,0.936124207944012,Ms2,False,,1345
C00763,C00148,0.936124207944012,Ms2,False,,1346
C04853,C05950,0.0625,Ms1,False,,1347
C01088,C01053,0.25,Ms1,False,,1348
C00522,C00966,0.25,Ms1,False,,1349
C01454,C06758,0.0339544274766647,Ms1,False,,135
C06007,C14463,0.25,Ms1,False,,1350
C00418,C00772,0.25,Ms1,False,,1351
C02366,C02796,0.25,Ms1,False,,1352
C06330,C06343,0.25,Ms1,False,,1353
C06342,C06338,0.25,Ms1,False,,1354
C00109,C06006,0.25,Ms1,False,,1355
C06323,C06324,0.25,Ms1,False,,1356
C06413,C06415,0.25,Ms1,False,,1357
C12457,C12456,0.25,Ms1,False,,1358
C00779,C01173,0.98043800176824,Ms2,False,,1359
C00049,C01044,0.25,Ms1,False,,136
C01173,C00779,0.98043800176824,Ms2,False,,1360
C08491,C21385,0.00390625,Ms1,False,,1361
C17235,C20327,0.25,Ms1,False,,1362
C00166,C20646,0.25,Ms1,False,,1363
C10945,C02666,0.25,Ms1,False,,1364
C02325,C12205,0.25,Ms1,False,,1365
C01173,C01624,0.25,Ms1,False,,1366
C11130,C12312,0.25,Ms1,False,,1367
C04353,C03766,0.25,Ms1,False,,1368
C20692,C20694,0.25,Ms1,False,,1369
C04874,C05926,0.0625,Ms1,False,,137
C10700,C13638,0.25,Ms1,False,,1370
C03765,C06044,0.25,Ms1,False,,1371
C07085,C07084,0.25,Ms1,False,,1372
C21142,C21140,0.25,Ms1,False,,1373
C10641,C21330,0.25,Ms1,False,,1374
C00319,C06124,0.25,Ms1,False,,1375
C00334,C15987,6.103515625E-05,Ms1,False,,1376
C20313,C00183,6.103515625E-05,Ms1,False,,1377
C00990,C00431,6.103515625E-05,Ms1,False,,1378
C01026,C00719,6.103515625E-05,Ms1,False,,1379
