unique_id,mz,ppm,precursorType,score
LMGL05010014,773,10.7,[M]+,0
LMGP03010153,773,10.3,[M+H]+,0
LMGP03010182,773,10.3,[M+H]+,0
LMGP03010234,773,10.3,[M+H]+,0
LMGP03010235,773,10.3,[M+H]+,0
LMGP03010260,773,10.3,[M+H]+,0
LMGP03010289,773,10.3,[M+H]+,0
LMGP03010329,773,10.3,[M+H]+,0
LMGP03010348,773,10.3,[M+H]+,0
LMGP03010374,773,10.3,[M+H]+,0
LMGP03010404,773,10.3,[M+H]+,0
LMGP03010563,773,10.3,[M+H]+,0
LMGP03010593,773,10.3,[M+H]+,0
LMGP04010136,773,6,[M]+,0
LMGP04010218,773,6,[M]+,0
LMGP04010295,773,6,[M]+,0
LMGP04010315,773,6,[M]+,0
LMGP04010316,773,6,[M]+,0
LMGP04010350,773,6,[M]+,0
LMGP04010377,773,6,[M]+,0
LMGP04010407,773,6,[M]+,0
LMGP04010490,773,6,[M]+,0
LMGP04010565,773,6,[M]+,0
LMGP04010595,773,6,[M]+,0
LMGP04010759,773,6,[M]+,0
LMGP04010904,773,6,[M]+,0
LMGP04010960,773,6,[M]+,0
LMGP10010586,773,21.3,[M]+,0
LMGP10010645,773,21.3,[M]+,0
LMGP10010809,773,21.3,[M]+,0
LMGP10010836,773,21.3,[M]+,0
