unique_id,mz,ppm,precursorType,score
LMGP01011355,742,0.751,[M]+,0
LMGP01011416,742,0.751,[M]+,0
LMGP01011417,742,0.751,[M]+,0
LMGP01011444,742,0.751,[M]+,0
LMGP01011482,742,0.751,[M]+,0
LMGP01011558,742,0.751,[M]+,0
LMGP01011619,742,0.751,[M]+,0
LMGP01011644,742,0.751,[M]+,0
LMGP01011675,742,0.751,[M]+,0
LMGP01011867,742,0.751,[M]+,0
LMGP02010048,742,0.751,[M]+,0
LMGP02010449,742,0.751,[M]+,0
LMGP02010531,742,0.751,[M]+,0
LMGP02010608,742,0.751,[M]+,0
LMGP02010628,742,0.751,[M]+,0
LMGP02010629,742,0.751,[M]+,0
LMGP02010663,742,0.751,[M]+,0
LMGP02010690,742,0.751,[M]+,0
LMGP02010720,742,0.751,[M]+,0
LMGP02010803,742,0.751,[M]+,0
LMGP02010878,742,0.751,[M]+,0
LMGP02010908,742,0.751,[M]+,0
LMGP02011074,742,0.751,[M]+,0
LMGP02011222,742,0.751,[M]+,0
LMGP04010027,742,2.86,[M+H+H2O]+,0
LMGP04010867,742,2.86,[M+H+H2O]+,0
LMGP04010872,742,2.86,[M+H+H2O]+,0
LMGP04010896,742,2.86,[M+H+H2O]+,0
LMGP04010916,742,2.86,[M+H+H2O]+,0
LMGP04010929,742,2.86,[M+H+H2O]+,0
LMGP04010935,742,2.86,[M+H+H2O]+,0
LMGP04010940,742,2.86,[M+H+H2O]+,0
LMGP04010986,742,2.86,[M+H+H2O]+,0
LMGP10010273,742,17.7,[M+H]+,0
LMGP10010302,742,17.7,[M+H]+,0
LMGP10010389,742,17.7,[M+H]+,0
LMGP10010417,742,17.7,[M+H]+,0
LMGP10010469,742,17.7,[M+H]+,0
LMGP10010499,742,17.7,[M+H]+,0
LMGP10010574,742,17.7,[M+H]+,0
LMGP10010604,742,17.7,[M+H]+,0
LMGP10010686,742,17.7,[M+H]+,0
LMGP10010687,742,17.7,[M+H]+,0
LMGP10010734,742,17.7,[M+H]+,0
LMGP10010764,742,17.7,[M+H]+,0
