unique_id,mz,ppm,precursorType,score
LMGL05010013,799,16.5,[M]+,0
LMGL05010061,799,16.5,[M]+,0
LMGP03010003,799,16.1,[M+H]+,0
LMGP03010159,799,16.1,[M+H]+,0
LMGP03010269,799,16.1,[M+H]+,0
LMGP03010298,799,16.1,[M+H]+,0
LMGP03010384,799,16.1,[M+H]+,0
LMGP03010412,799,16.1,[M+H]+,0
LMGP03010442,799,16.1,[M+H]+,0
LMGP03010466,799,16.1,[M+H]+,0
LMGP03010494,799,16.1,[M+H]+,0
LMGP03010495,799,16.1,[M+H]+,0
LMGP03010568,799,16.1,[M+H]+,0
LMGP03010598,799,16.1,[M+H]+,0
LMGP03010627,799,16.1,[M+H]+,0
LMGP03010791,799,16.1,[M+H]+,0
LMGP04010039,799,0.391,[M]+,0
LMGP04010335,799,0.391,[M]+,0
LMGP04010358,799,0.391,[M]+,0
LMGP04010386,799,0.391,[M]+,0
LMGP04010414,799,0.391,[M]+,0
LMGP04010444,799,0.391,[M]+,0
LMGP04010542,799,0.391,[M]+,0
LMGP04010543,799,0.391,[M]+,0
LMGP04010571,799,0.391,[M]+,0
LMGP04010601,799,0.391,[M]+,0
LMGP04010630,799,0.391,[M]+,0
LMGP04010793,799,0.391,[M]+,0
LMGP04010950,799,0.391,[M]+,0
LMGP04010968,799,0.391,[M]+,0
LMGP20020003,799,16.1,[M+H+H2O]+,0
LMSP06020002,799,1.6,[M+H+H2O]+,0
