unique_id,mz,ppm,precursorType,score
LMGP03010277,821,8.7,[M+H]+,0
LMGP03010825,821,8.7,[M+H]+,0
LMGP04010043,821,6.63,[M]+,0
LMGP04010395,821,6.63,[M]+,0
LMGP04010423,821,6.63,[M]+,0
LMGP04010582,821,6.63,[M]+,0
LMGP04010612,821,6.63,[M]+,0
LMGP04010641,821,6.63,[M]+,0
LMGP04010668,821,6.63,[M]+,0
LMGP04010801,821,6.63,[M]+,0
LMGP04010802,821,6.63,[M]+,0
LMGP04010828,821,6.63,[M]+,0
LMGP06010052,821,12,[M]+,0
LMGP06010094,821,12,[M]+,0
LMGP06010141,821,12,[M]+,0
LMGP06010163,821,12,[M]+,0
LMGP06010177,821,12,[M]+,0
LMGP06010223,821,12,[M]+,0
LMGP06010252,821,12,[M]+,0
LMGP06010294,821,12,[M]+,0
LMGP06010312,821,12,[M]+,0
LMGP06010451,821,12,[M]+,0
LMGP06010527,821,12,[M]+,0
LMGP06010885,821,12,[M]+,0
