id,mz,rt,intensity,KEGGId,exactMass,formula,name,precursorType,mzCalc,ppm,inferLevel,forward,reverse,jaccard,parentTrace,inferSize,score1,score2,pvalue,seed,partnerKEGGId,KEGG_reaction,reaction,fileName,scanId
M445T445,445.119842529297,445.024,315416.25,C20656,444.1158,C15H21N6O8P,(L-Prolyl)adenylate,[M+H]+,0,8,Ms1,0,0,0,0.25,2,0,0,0.00268739797513851,M116T423: C00148,C00148,RC00043,O6a-O7a:*-P1b:C6a-C7a,,0
M174T446,174.112640380859,446.049,247064.765625,C00792,174.1117,C6H14N4O2,D-Arginine,[M]+,0,5,Ms2,0.932331263813452,0.93535360254591,1,0.154043676535963,6,0,0,0.000424560162905596,M174T429: C00062,C00062,RC00302,C1c-C1c:*-*:C1b+C6a+N1a-C1b+C6a+N1a,,0
M174T446,174.112640380859,446.049,247064.765625,C00062,174.1117,C6H14N4O2,L-Arginine,[M]+,0,5,Ms2,0.932331263813452,0.93535360254591,1,0.154043676535963,6,0,0,0.000424560162905596,M174T429: C00792,C00792,RC00302,C1c-C1c:*-*:C1b+C6a+N1a-C1b+C6a+N1a,,0
M174T446,174.112640380859,446.049,247064.765625,C02710,173.1052,C8H15NO3,N-Acetyl-L-leucine,[M+H]+,0,2,Ms1,0,0,0,0.25,6,0,0,0.00198784485613746,M132T571: C00123,C00123,RC00064,N1a-N1b:*-C5a:C1c-C1c,,0
M102T447,102.033843994141,446.868,1759679.5,C00232,102.0317,C4H6O3,Succinate semialdehyde,[M]+,0,21,Ms1,0,0,0,9.5367431640625E-07,11,0,0,0.0175087147348507,M118T90: C15987,C15987,RC00225,C1b-C4a:N1b+*-*+O4a:C1b-C1b,,0
M313T447,313.234619140625,447.444,291856.15625,C14831,312.2301,C18H32O4,8(R)-HPODE,[M+H]+,0,11,Ms2,0.875173886646993,0.911048637101438,0.428571428571429,1.01410959909622E-06,22,0,0,0.000696519042518551,M313T431: C20186,C20186,RC02707,C1b-C1c:*-O1a:C1b+C1b-C1b+C1b O1a-O1a:O2a+*-*+C1c:*-* O2a-O1a:O1a-*:C1c-C1c,,0
M313T447,313.234619140625,447.444,291856.15625,C14827,312.2301,C18H32O4,9(S)-HPODE,[M+H]+,0,11,Ms2,0.875173886646993,0.911048637101438,0.428571428571429,1.92680823828282E-06,22,0,0,0.000696518707144378,M313T431: C19827,C19827,RC02103,C1b-C2b:*-*:C1b+C1c-C1b+C2b C1c-C2b:C2b-*:C1b+O2a-C2b+O2a C2b-C2b:C1c+*-*+O2a:C2b-C2b O2a-O2a:O1a+*-*+C2b:C1c-C2b,,0
M313T447,313.234619140625,447.444,291856.15625,C19827,294.2195,C18H30O3,Colneleate,[M+H+H2O]+,0,10,Ms2,0.875173886646993,0.911048637101438,0.428571428571429,5.50997464565859E-07,22,0,0,0.000694470824984972,M313T431: C14827,C14827,RC02103,C1b-C2b:*-*:C1b+C1c-C1b+C2b C1c-C2b:C2b-*:C1b+O2a-C2b+O2a C2b-C2b:C1c+*-*+O2a:C2b-C2b O2a-O2a:O1a+*-*+C2b:C1c-C2b,,0
M313T447,313.234619140625,447.444,291856.15625,C20186,312.2301,C18H32O4,"5S,8R-DiHODE",[M+H]+,0,11,Ms2,0.875173886646993,0.911048637101438,0.428571428571429,1.01410959909622E-06,22,0,0,0.000696519042518551,M313T431: C14831,C14831,RC02707,C1b-C1c:*-O1a:C1b+C1b-C1b+C1b O1a-O1a:O2a+*-*+C1c:*-* O2a-O1a:O1a-*:C1c-C1c,,0
M313T447,313.234619140625,447.444,291856.15625,C07354,312.2301,C18H32O4,"(7S,8S)-DiHODE",[M+H]+,0,11,Ms2,0.875173886646993,0.911048637101438,0.428571428571429,1.01410959909622E-06,22,0,0,0.000696519042518551,M313T431: C14831,C14831,RC01737,C1b-C1c:*-O1a:C1b+C1c-C1b+C1c O1a-O1a:O2a+*-*+C1c:*-* O2a-O1a:O1a-*:C1c-C1c,,0
M245T449,245.185546875,449.468,245781.828125,C01255,244.1787,C12H24N2O3,N-(6-Aminohexanoyl)-6-aminohexanoate,[M+H]+,0,4,Ms1,0.0688431696502087,1,0.25,0.25,5,0,0,0.000829767139562287,M132T256: C02378,C02378,RC00096,N1a-N1b:*-C5a:C1b-C1b,,0
M245T449,245.185546875,449.468,245781.828125,C20514,226.1681,C12H22N2O2,Cyclo(L-leucyl-L-leucyl),[M+H+H2O]+,0,4,Ms1,0,0,0,0.00390625,5,0,0,0.00402630711297625,M256T849: C20515,C20515,RC03114,C1y-C8y:*-*:C1b+C5x+N1x-C1b+C8y+N5y C1y-C8y:*-*:C1b+C5x+N1x-C1b+C8y+N5y C5x-C8y:*-*:C1y+N1x+O5x-C8y+N5y+O1a C5x-C8y:*-*:C1y+N1x+O5x-C8y+N5y+O1a N1x-N5y:*-O3a:C1y+C5x-C8y+C8y N1x-N5y:*-O3a:C1y+C5x-C8y+C8y,,0
M245T449,245.185546875,449.468,245781.828125,C04277,226.1681,C12H22N2O2,"1,8-Diazacyclotetradecane-2,9-dione",[M+H+H2O]+,0,4,Ms1,0.0947574916916297,0.625865011557203,0.333333333333333,0.232660495073195,5,0,0,0.00097862006982985,M245T399: C01255,C01255,RC00931,C5x-C6a:N1x+*-*+O6a:C1x+O5x-C1b+O6a N1x-N1a:C5x-*:C1x-C1b,,0
M279T450,279.158996582031,450.465,1046736.4375,C03343,278.1518,C16H22O4,2-Ethylhexyl phthalate,[M+H]+,0,2,Ms1,0.226690942211701,0.0437806633752513,0,3.63797880709171E-12,20,0,0,0.00273147309902533,M391T860: C03690,C03690,RC00020,O6a-O7a:*-C1b:C6a-C7a,,0
M227T451,227.127883911133,450.855,414501.65625,C21385,226.1205,C12H18O4,trans-12-Hydroxyjasmonic acid,[M+H]+,0,2,Ms1,0,0,0,0.015625,4,0,0,0.00244532781100726,M211T456: C08491,C08491,RC00797,C1a-C1b:*-O1a:C1b-C1b,,0
M227T451,227.127883911133,450.855,414501.65625,C04561,208.1099,C12H16O3,"Benzyl (2R,3S)-2-methyl-3-hydroxybutanoate",[M+H+H2O]+,0,2,Ms1,0.218040788793354,0.0806433211350351,0.111111111111111,0.015625,4,0,0,0.0016808962246786,M225T598: C04000,C04000,RC00525,C1c-C5a:*-*:C1a+C1c+O1a-C1a+C1c+O5a,,0
M195T452,195.065078735352,452.057,451103.375,C00438,176.0433,C5H8N2O5,N-Carbamoyl-L-aspartate,[M+H+H2O]+,0,17,Ms1,0,0,0,0.25,2,0,0,0.00452594073609647,M152T239: C00049,C00049,RC00064,N1a-N1b:*-C5a:C1c-C1c,,0
M265T453,265.153930664063,453.068,241949.734375,C06655,246.1328,C9H18N4O4,L-N2-(2-Carboxyethyl)arginine,[M+H+H2O]+,0,10,Ms1,0,0,0,0.0693250194024693,4,0,0,0.00364191360878108,M174T364: C00062,C00062,RC00215,N1a-N1b:*-C1b:C1c-C1c,,0
M265T453,265.153930664063,453.068,241949.734375,C04137,246.1328,C9H18N4O4,D-Octopine,[M+H+H2O]+,0,10,Ms1,0,0,0,0.0693250194024693,4,0,0,0.00364191360878108,M174T364: C00062,C00062,RC00283,N1a-N1b:*-C1c:C1c-C1c,,0
M260T453,260.148986816406,453.453,245281.9375,C20519,260.1525,C15H20N2O2,Cyclo(L-leucyl-L-phenylalanyl),[M]+,0,14,Ms1,0,0,0,0.25,2,0,0,0.00354627360120263,M275T410: C20520,C20520,RC03128,C1b-C2b:*-*:C1c+C1y-C1c+C2y C1b-C2b:*-*:C1y+C8y-C2y+C8y C1y-C2y:*-*:C1b+C5x+N1x-C2b+C5x+N1x C1y-C2y:*-*:C1b+C5x+N1x-C2b+C5x+N1x,,0
M229T454,229.143203735352,454.061,1194894.25,C08491,210.1256,C12H18O3,(-)-Jasmonic acid,[M+H+H2O]+,0,3,Ms1,0,0,0,0.00390625,5,0,0,0.00266742682690846,M227T451: C21385,C21385,RC00797,C1a-C1b:*-O1a:C1b-C1b,,0
M118T454,118.085990905762,454.281,930414.875,C15987,117.079,C5H11NO2,4-Methylaminobutyrate,[M+H]+,0,7,Ms1,0,0,0,9.5367431640625E-07,11,0,0,0.00484607174056784,M102T83: C00232,C00232,RC00225,C1b-C4a:N1b+*-*+O4a:C1b-C1b,,0
M251T455,251.125061035156,454.662,400740.53125,C21015,232.1059,C9H16N2O5,gamma-L-Glutamyl-L-2-aminobutyrate,[M+H+H2O]+,0,3,Ms1,0,0,0,0.015625,4,0,0,0.00359354469071693,M104T104: C02356,C02356,RC00064,N1a-N1b:*-C5a:C1c-C1c,,0
M251T455,251.125061035156,454.662,400740.53125,C03415,232.1059,C9H16N2O5,N2-Succinyl-L-ornithine,[M+H+H2O]+,0,3,Ms1,0,0,0,0.0322545060145025,4,0,0,0.00254427093126863,M275T410: C03296,C03296,RC00024,N1a-N1b:*-C2c:C1b-C1b,,0
M251T455,251.125061035156,454.662,400740.53125,C15767,232.1059,C9H16N2O5,4-(L-gamma-Glutamylamino)butanoate,[M+H+H2O]+,0,3,Ms1,0,0,0,0.015625,4,0,0,0.00359354469071693,M104T104: C00334,C00334,RC00096,N1a-N1b:*-C5a:C1b-C1b,,0
M211T456,211.132751464844,455.88,223714.15625,C08491,210.1256,C12H18O3,(-)-Jasmonic acid,[M+H]+,0,3,Ms1,0,0,0,0.0625,3,0,0,0.00351735410106091,M227T78: C21385,C21385,RC00797,C1a-C1b:*-O1a:C1b-C1b,,0
