id,mz,rt,intensity,KEGGId,exactMass,formula,name,precursorType,mzCalc,ppm,inferLevel,forward,reverse,jaccard,parentTrace,inferSize,score1,score2,pvalue,seed,partnerKEGGId,KEGG_reaction,reaction,fileName,scanId
M217T1,217.179962158203,0.7461,4127560,C21080,216.1725,C12H24O3,7-Hydroxydodecanoate,[M+H]+,0,2,Ms1,0,0,0,0.0114373723615293,6,0,0,0.00339513974196137,M219T372: C02679,C02679,RC00709,C1b-C1c:*-O1a:C1b+C1b-C1b+C1b,,0
M195T1,195.065292358398,1.1348,1705438.375,C01173,176.0473,C10H8O3,"1,3,8-Naphthalenertriol",[M+H+H2O]+,0,2,Ms2,1,0.995996760714496,0.5,0.99200954735377,26,0,0,0.000332092585994648,M195T198: C00779,C00779,RC00803,C1x-C8x:*-*:C1y+C5x-C8x+C8y C1x-C8x:*-*:C1y+C8y-C8x+C8y C1y-C8x:O1a-*:C1x+C1x-C8x+C8x C5x-C8y:*-*:C1x+C8y+O5x-C8x+C8y+O1a,,0
M195T1,195.065292358398,1.1348,1705438.375,C00779,194.0579,C10H10O4,Scytalone,[M+H]+,0,2,Ms2,1,0.995996760714496,0.5,0.99200954735377,26,0,0,0.000333180849936054,M195T198: C01173,C01173,RC00803,C1x-C8x:*-*:C1y+C5x-C8x+C8y C1x-C8x:*-*:C1y+C8y-C8x+C8y C1y-C8x:O1a-*:C1x+C1x-C8x+C8x C5x-C8y:*-*:C1x+C8y+O5x-C8x+C8y+O1a,,0
M279T1,279.159149169922,1.3239,1624647.375,C03343,278.1518,C16H22O4,2-Ethylhexyl phthalate,[M+H]+,0,2,Ms1,0.270830953403752,0.600771122180952,0.142857142857143,2.38418579101563E-07,12,0,0,0.00175911407549934,M391T763: C03690,C03690,RC00020,O6a-O7a:*-C1b:C6a-C7a,,0
M445T2,445.119323730469,2.1168,1654237.75,C20656,444.1158,C15H21N6O8P,(L-Prolyl)adenylate,[M+H]+,0,10,Ms1,0,0,0,0.23325632169403,17,0,0,0.00489597469186065,M116T503: C00148,C00148,RC00043,O6a-O7a:*-P1b:C6a-C7a,,0
M102T5,102.033737182617,4.5234,851015.75,C00232,102.0317,C4H6O3,Succinate semialdehyde,[M]+,0,20,Ms1,0,0,0,0.015625,4,0,0,0.00791502145820666,M137T154: C00042,C00042,RC00080,C4a-C6a:*-O6a:C1b+O4a-C1b+O6a,,0
M102T5,102.033737182617,4.5234,851015.75,C00109,102.0317,C4H6O3,2-Oxobutanoate,[M]+,0,20,Ms1,0,0,0,0.249789819578937,4,0,0,0.00543023314265123,M150T138: C00073,C00073,RC00348,C1a-C1b:*-S2a:C1b-C1b C5a-C1c:O5a+*-*+N1a:C1b+C6a-C1b+C6a,,0
M102T5,102.033737182617,4.5234,851015.75,C06002,102.0317,C4H6O3,(S)-Methylmalonate semialdehyde,[M]+,0,20,Ms1,0,0,0,0.015625,4,0,0,0.00791502145820666,M137T154: C02170,C02170,RC00242,C4a-C6a:*-O6a:C1c+O4a-C1c+O6a,,0
M102T5,102.033737182617,4.5234,851015.75,C00349,102.0317,C4H6O3,2-Methyl-3-oxopropanoate,[M]+,0,20,Ms1,0,0,0,0.015625,4,0,0,0.00791502145820666,M104T104: C01205,C01205,RC00160,C1b-C4a:N1a+*-*+O4a:C1c-C1c,,0
M324T6,324.217224121094,5.5112,532717.375,C06866,305.1991,C18H27NO3,Capsaicin,[M+H+H2O]+,0,1,Ms1,0,0,0,0.25,2,0,0,0.00340296336264467,M189T710: C18202,C18202,RC00090,C5a-C6a:N1b+*-*+O6a:C1b+O5a-C1b+O6a,,0
M121T6,121.064666748047,5.9143,533084.3125,C07209,120.0575,C8H8O,3-Methylbenzaldehyde,[M+H]+,0,5,Ms2,0.857094032950563,0.543270839626636,0.111111111111111,0.543270839626636,2,0,0,0.000662610994330404,M137T170: C07211,C07211,RC00075,C4a-C6a:*-O6a:C8y+O4a-C8y+O6a,,0
M121T6,121.064666748047,5.9143,533084.3125,C06758,120.0575,C8H8O,p-Tolualdehyde,[M+H]+,0,5,Ms2,0.857094032950563,0.543270839626636,0.111111111111111,0.543270839626636,2,0,0,0.000662610994330404,M137T170: C01454,C01454,RC00075,C4a-C6a:*-O6a:C8y+O4a-C8y+O6a,,0
M121T6,121.064666748047,5.9143,533084.3125,C07214,120.0575,C8H8O,2-Methylbenzaldehyde,[M+H]+,0,5,Ms2,0.857094032950563,0.543270839626636,0.111111111111111,0.543270839626636,2,0,0,0.000662610994330404,M137T170: C07215,C07215,RC00075,C4a-C6a:*-O6a:C8y+O4a-C8y+O6a,,0
M121T6,121.064666748047,5.9143,533084.3125,C07113,120.0575,C8H8O,Acetophenone,[M+H]+,0,5,Ms2,0.857094032950563,0.543270839626636,0.111111111111111,0.543270839626636,2,0,0,0.000662610994330404,M137T170: C07189,C07189,RC00157,C1a-C1b:*-O1a:C5a-C5a,,0
M121T6,121.064666748047,5.9143,533084.3125,C00601,120.0575,C8H8O,Phenylacetaldehyde,[M+H]+,0,5,Ms2,0.99191805164452,0.97197399091604,0.666666666666667,0.97197399091604,2,0,0,0.00033890023333516,M121T137: C02083,C02083,RC00758,C1b-C1y:*-O2x:C4a+C8y-C1x+C8y C4a-C1x:*-*:C1b+O4a-C1y+O2x O4a-O2x:*-C1y:C4a-C1x,,0
M121T6,121.064666748047,5.9143,533084.3125,C05627,120.0575,C8H8O,4-Hydroxystyrene,[M+H]+,0,5,Ms1,0,0,0,0.25,2,0,0,0.00322369436956205,M183T383: C00811,C00811,RC00814,C2a-C2b:*-C6a:C2b-C2b,,0
M121T6,121.064666748047,5.9143,533084.3125,C02083,120.0575,C8H8O,Styrene oxide,[M+H]+,0,5,Ms2,0.99191805164452,0.97197399091604,0.666666666666667,0.97197399091604,2,0,0,0.00033890023333516,M121T137: C00601,C00601,RC00758,C1b-C1y:*-O2x:C4a+C8y-C1x+C8y C4a-C1x:*-*:C1b+O4a-C1y+O2x O4a-O2x:*-C1y:C4a-C1x,,0
M121T6,121.064666748047,5.9143,533084.3125,C20782,120.0575,C8H8O,(S)-2-Phenyloxirane,[M+H]+,0,5,Ms2,0.99191805164452,0.97197399091604,0.666666666666667,0.97197399091604,2,0,0,0.00033890023333516,M121T137: C00601,C00601,RC00758,C1b-C1y:*-O2x:C4a+C8y-C1x+C8y C4a-C1x:*-*:C1b+O4a-C1y+O2x O4a-O2x:*-C1y:C4a-C1x,,0
M117T8,117.102058410645,7.9223,420089.09375,C00990,116.095,C5H12N2O,5-Aminopentanamide,[M+H]+,0,7,Ms1,0.822664189322368,0.170506178331471,0.166666666666667,0.25,2,0,0,0.000985859544998968,M118T172: C00431,C00431,RC00010,C5a-C6a:N1a+*-*+O6a:C1b+O5a-C1b+O6a,,0
M132T10,132.101669311523,10.3734,527596.5,C00407,131.0946,C6H13NO2,L-Isoleucine,[M+H]+,0,6,Ms2,1,1,1,1,10,0,0,0.000322776062331886,M132T303: C21092,C21092,RC03345,C1c-C1c:*-*:C1c+C6a+N1a-C1c+C6a+N1a,,0
M132T10,132.101669311523,10.3734,527596.5,C21092,131.0946,C6H13NO2,D-allo-Isoleucine,[M+H]+,0,6,Ms2,1,1,1,1,10,0,0,0.000322776062331886,M132T303: C00407,C00407,RC03345,C1c-C1c:*-*:C1c+C6a+N1a-C1c+C6a+N1a,,0
M132T10,132.101669311523,10.3734,527596.5,C00123,131.0946,C6H13NO2,L-Leucine,[M+H]+,0,6,Ms2,1,1,1,1,10,0,0,0.000322776062331886,M132T303: C02486,C02486,RC00449,C1b-C1c:*-N1a:C1c+C1c-C1b+C1c C1c-C1b:N1a-*:C1b+C6a-C1c+C6a N1a-N1a:C1c+*-*+C1c:*-*,,0
M132T10,132.101669311523,10.3734,527596.5,C02486,131.0946,C6H13NO2,(3R)-beta-Leucine,[M+H]+,0,6,Ms2,1,1,1,1,10,0,0,0.000322776062331886,M132T303: C00123,C00123,RC00449,C1b-C1c:*-N1a:C1c+C1c-C1b+C1c C1c-C1b:N1a-*:C1b+C6a-C1c+C6a N1a-N1a:C1c+*-*+C1c:*-*,,0
M132T10,132.101669311523,10.3734,527596.5,C02378,131.0946,C6H13NO2,6-Aminohexanoate,[M+H]+,0,6,Ms2,1,1,1,1,10,0,0,0.000322776062331886,M132T303: C06593,C06593,RC00931,C5x-C6a:N1x+*-*+O6a:C1x+O5x-C1b+O6a N1x-N1a:C5x-*:C1x-C1b,,0
M110T11,110.081085205078,10.7759,201366.078125,C06057,91.0633,C3H9NO2,"3-Aminopropane-1,2-diol",[M+H+H2O]+,0,5,Ms1,0,0,0,0.25,2,0,0,0.00231382581375672,M154T155: C06056,C06056,RC00517,C1b-C1c:*-C6a:C1c+N1a-C1c+N1a,,0
M445T12,445.119537353516,12.1571,337928.40625,C20656,444.1158,C15H21N6O8P,(L-Prolyl)adenylate,[M+H]+,0,9,Ms1,0,0,0,0.231647908144854,22,0,0,0.00553368854010805,M116T639: C00148,C00148,RC00043,O6a-O7a:*-P1b:C6a-C7a,,0
M217T13,217.179534912109,12.993,229868.09375,C21080,216.1725,C12H24O3,7-Hydroxydodecanoate,[M+H]+,0,4,Ms2,0.965101206687401,0.923086104487328,0.25,0.00198904318217682,9,0,0,0.000760156155146241,M219T522: C02679,C02679,RC00709,C1b-C1c:*-O1a:C1b+C1b-C1b+C1b,,0
M137T13,137.059509277344,13.1937,195209.25,C07085,136.0524,C8H8O2,3-Vinylcatechol,[M+H]+,0,5,Ms1,0.388793654462491,0.0738225642476228,0,0.25,2,0,0,0.00213178040787931,M157T470: C07084,C07084,RC00534,C1y-C8y:*-*:C1y+C2x+O1a-C8y+C8x+O1a C1y-C8y:*-*:C1y+C2y+O1a-C8y+C8y+O1a,,0
M137T13,137.059509277344,13.1937,195209.25,C10700,136.0524,C8H8O2,4'-Hydroxyacetophenone,[M+H]+,0,5,Ms1,0.388793654462491,0.0738225642476228,0,0.25,2,0,0,0.00213178040787931,M157T470: C13638,C13638,RC01377,C1c-C5a:*-*:C1a+C8y+O1a-C1a+C8y+O5a,,0
M137T13,137.059509277344,13.1937,195209.25,C07054,137.0589,C6H7N3O,Isoniazid,[M]+,0,4,Ms1,0.0360204166314696,0.798088111861517,0,0.25,2,0,0,0.00113798011823674,M124T115: C07446,C07446,RC00162,C5a-C6a:N1b+*-*+O6a:C8y+O5a-C8y+O6a,,0
M137T13,137.059509277344,13.1937,195209.25,C03765,136.0524,C8H8O2,4-Hydroxyphenylacetaldehyde,[M+H]+,0,5,Ms2,0.702211574523231,0.557540636463385,0.111111111111111,0.557540636463385,2,0,0,0.000824473593657782,M156T350: C00483,C00483,RC00062,C1b-C4a:N1a+*-*+O4a:C1b-C1b,,0
M137T13,137.059509277344,13.1937,195209.25,C07086,136.0524,C8H8O2,Phenylacetic acid,[M+H]+,0,5,Ms1,0.339607917865988,0.986518972701397,0.125,0.25,2,0,0,0.000797016364755265,M121T233: C00601,C00601,RC00080,C4a-C6a:*-O6a:C1b+O4a-C1b+O6a,,0
M137T13,137.059509277344,13.1937,195209.25,C07189,136.0524,C8H8O2,2-Hydroxyacetophenone,[M+H]+,0,5,Ms1,0.339607917865988,0.986518972701397,0.125,0.25,2,0,0,0.000797016364755265,M121T233: C07113,C07113,RC00157,C1a-C1b:*-O1a:C5a-C5a,,0
M137T13,137.059509277344,13.1937,195209.25,C07215,136.0524,C8H8O2,o-Toluate,[M+H]+,0,5,Ms1,0.339607917865988,0.986518972701397,0.125,0.25,2,0,0,0.000797016364755265,M121T233: C07214,C07214,RC00075,C4a-C6a:*-O6a:C8y+O4a-C8y+O6a,,0
M137T13,137.059509277344,13.1937,195209.25,C01454,136.0524,C8H8O2,Toluate,[M+H]+,0,5,Ms1,0.339607917865988,0.986518972701397,0.125,0.25,2,0,0,0.000797016364755265,M121T233: C06758,C06758,RC00075,C4a-C6a:*-O6a:C8y+O4a-C8y+O6a,,0
M137T13,137.059509277344,13.1937,195209.25,C07211,136.0524,C8H8O2,m-Methylbenzoate,[M+H]+,0,5,Ms1,0.339607917865988,0.986518972701397,0.125,0.25,2,0,0,0.000797016364755265,M121T233: C07209,C07209,RC00075,C4a-C6a:*-O6a:C8y+O4a-C8y+O6a,,0
M313T13,313.234588623047,13.3791,213885.65625,C20186,312.2301,C18H32O4,"5S,8R-DiHODE",[M+H]+,0,11,Ms1,0.808912756254278,0.203242204526496,0.111111111111111,0.24131781788488,3,0,0,0.00219728570858191,M313T956: C14831,C14831,RC02707,C1b-C1c:*-O1a:C1b+C1b-C1b+C1b O1a-O1a:O2a+*-*+C1c:*-* O2a-O1a:O1a-*:C1c-C1c,,0
M313T13,313.234588623047,13.3791,213885.65625,C07354,312.2301,C18H32O4,"(7S,8S)-DiHODE",[M+H]+,0,11,Ms1,0.808912756254278,0.203242204526496,0.111111111111111,0.24131781788488,3,0,0,0.00219728570858191,M313T956: C14831,C14831,RC01737,C1b-C1c:*-O1a:C1b+C1c-C1b+C1c O1a-O1a:O2a+*-*+C1c:*-* O2a-O1a:O1a-*:C1c-C1c,,0
M313T13,313.234588623047,13.3791,213885.65625,C19618,312.2301,C18H32O4,"Octadec-9-ene-1,18-dioic-acid",[M+H]+,0,11,Ms1,0,0,0,0.0625,3,0,0,0.011575277990844,M297T846: C19617,C19617,RC00080,C4a-C6a:*-O6a:C1b+O4a-C1b+O6a,,0
M313T13,313.234588623047,13.3791,213885.65625,C04717,312.2301,C18H32O4,"(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid",[M+H]+,0,11,Ms1,0.939096010283252,0.0909244890977022,0,0.131115518409089,3,0,0,0.0027608124957117,M281T988: C01595,C01595,RC00561,C1b-C2b:*-*:C2b+C2b-C2b+C2b C2b-C1c:*-O2a:C1b+C2b-C1b+C2b,,0
M313T13,313.234588623047,13.3791,213885.65625,C14827,312.2301,C18H32O4,9(S)-HPODE,[M+H]+,0,11,Ms1,0.939096010283252,0.0909244890977022,0,0.131115518409089,3,0,0,0.0027608124957117,M281T988: C01595,C01595,RC00561,C1b-C2b:*-*:C2b+C2b-C2b+C2b C2b-C1c:*-O2a:C1b+C2b-C1b+C2b,,0
M313T13,313.234588623047,13.3791,213885.65625,C07338,312.2301,C18H32O4,"(9Z,12Z)-(11S)-11-Hydroperoxyoctadeca-9,12-dienoic acid",[M+H]+,0,11,Ms1,0.939096010283252,0.0909244890977022,0,0.131115518409089,3,0,0,0.0027608124957117,M281T988: C01595,C01595,RC01456,C1b-C1c:*-O2a:C2b+C2b-C2b+C2b,,0
M313T13,313.234588623047,13.3791,213885.65625,C14831,312.2301,C18H32O4,8(R)-HPODE,[M+H]+,0,11,Ms1,0.808912756254278,0.203242204526496,0.111111111111111,0.24131781788488,3,0,0,0.00219728570858191,M313T956: C20186,C20186,RC02707,C1b-C1c:*-O1a:C1b+C1b-C1b+C1b O1a-O1a:O2a+*-*+C1c:*-* O2a-O1a:O1a-*:C1c-C1c,,0
M313T13,313.234588623047,13.3791,213885.65625,C19937,312.2301,C18H32O4,"(8E,10R,12Z)-10-Hydroperoxy-8,12-octadecadienoate",[M+H]+,0,11,Ms1,0.939096010283252,0.0909244890977022,0,0.131115518409089,3,0,0,0.0027608124957117,M281T988: C01595,C01595,RC02662,C1b-C2b:*-*:C1b+C2b-C1b+C2b C2b-C1c:*-O2a:C1b+C2b-C1b+C2b,,0
M313T13,313.234588623047,13.3791,213885.65625,C20703,312.2301,C18H32O4,"(8E,10S,12Z)-10-Hydroperoxyoctadeca-8,12-dienoate",[M+H]+,0,11,Ms1,0.939096010283252,0.0909244890977022,0,0.131115518409089,3,0,0,0.0027608124957117,M281T988: C01595,C01595,RC02662,C1b-C2b:*-*:C1b+C2b-C1b+C2b C2b-C1c:*-O2a:C1b+C2b-C1b+C2b,,0
M287T14,287.221405029297,14.2034,199248.8125,C19615,286.2144,C16H30O4,Hexadecanedioate,[M+H]+,0,3,Ms1,0,0,0,0.25,2,0,0,0.00387855254626324,M289T727: C19614,C19614,RC00080,C4a-C6a:*-O6a:C1b+O4a-C1b+O6a,,0
M259T15,259.025695800781,15.4299,171358.03125,C20668,258.0141,C6H11O9P,3-Dehydro-D-glucose 6-phosphate,[M+H]+,0,15,Ms1,0,0,0,0.25,2,0,0,0.00377892013622239,M260T82: C12213,C12213,RC00781,C1y-C5x:N1a+*-*+O5x:C1y+C1y-C1y+C1y,,0
M134T17,134.08088684082,16.8523,174416.484375,C20313,133.0739,C5H11NO3,N-Hydroxy-L-valine,[M+H]+,0,6,Ms1,0.192378782183678,1,0,0.25,2,0,0,0.000957236011551954,M118T90: C00183,C00183,RC00365,N1a-N1b:*-O1b:C1c-C1c,,0
M195T18,195.065032958984,17.8443,1972733,C01173,176.0473,C10H8O3,"1,3,8-Naphthalenertriol",[M+H+H2O]+,0,3,Ms2,1,1,1,1,17,0,0,0.000348187574680026,M195T692: C00779,C00779,RC00803,C1x-C8x:*-*:C1y+C5x-C8x+C8y C1x-C8x:*-*:C1y+C8y-C8x+C8y C1y-C8x:O1a-*:C1x+C1x-C8x+C8x C5x-C8y:*-*:C1x+C8y+O5x-C8x+C8y+O1a,,0
M195T18,195.065032958984,17.8443,1972733,C00779,194.0579,C10H10O4,Scytalone,[M+H]+,0,4,Ms2,1,1,1,1,17,0,0,0.000349355960367781,M195T692: C01173,C01173,RC00803,C1x-C8x:*-*:C1y+C5x-C8x+C8y C1x-C8x:*-*:C1y+C8y-C8x+C8y C1y-C8x:O1a-*:C1x+C1x-C8x+C8x C5x-C8y:*-*:C1x+C8y+O5x-C8x+C8y+O1a,,0
M279T18,279.158813476563,18.0335,1631131.125,C03343,278.1518,C16H22O4,2-Ethylhexyl phthalate,[M+H]+,0,3,Ms1,0,0,0,9.31322574615479E-10,16,0,0,0.006190093838361,M391T828: C03690,C03690,RC00020,O6a-O7a:*-C1b:C6a-C7a,,0
M445T18,445.119232177734,18.2238,1326566.625,C20656,444.1158,C15H21N6O8P,(L-Prolyl)adenylate,[M+H]+,0,10,Ms1,0,0,0,0.231647908144854,24,0,0,0.00626886573054963,M116T701: C00148,C00148,RC00043,O6a-O7a:*-P1b:C6a-C7a,,0
M102T20,102.033798217773,20.4403,868073.875,C00349,102.0317,C4H6O3,2-Methyl-3-oxopropanoate,[M]+,0,21,Ms1,0,0,0,0.00390625,5,0,0,0.00853149104210837,M104T124: C01205,C01205,RC00160,C1b-C4a:N1a+*-*+O4a:C1c-C1c,,0
M102T20,102.033798217773,20.4403,868073.875,C00232,102.0317,C4H6O3,Succinate semialdehyde,[M]+,0,21,Ms1,0,0,0,0.00390625,5,0,0,0.00853149104210837,M137T241: C00042,C00042,RC00080,C4a-C6a:*-O6a:C1b+O4a-C1b+O6a,,0
M102T20,102.033798217773,20.4403,868073.875,C06002,102.0317,C4H6O3,(S)-Methylmalonate semialdehyde,[M]+,0,21,Ms1,0,0,0,0.00390625,5,0,0,0.00853149104210837,M137T241: C02170,C02170,RC00242,C4a-C6a:*-O6a:C1c+O4a-C1c+O6a,,0
M102T20,102.033798217773,20.4403,868073.875,C00109,102.0317,C4H6O3,2-Oxobutanoate,[M]+,0,21,Ms1,0,0,0,0.00390625,5,0,0,0.00853149104210837,M104T124: C02356,C02356,RC00006,C1c-C5a:N1a+*-*+O5a:C1b+C6a-C1b+C6a,,0
M324T22,324.217041015625,21.6509,463028.375,C06866,305.1991,C18H27NO3,Capsaicin,[M+H+H2O]+,0,1,Ms1,0,0,0,0.0625,3,0,0,0.00436943781044752,M189T710: C18202,C18202,RC00090,C5a-C6a:N1b+*-*+O6a:C1b+O5a-C1b+O6a,,0
M121T23,121.064674377441,22.6616,544586.75,C00601,120.0575,C8H8O,Phenylacetaldehyde,[M+H]+,0,5,Ms2,0.939806496475498,0.957447930370341,0.666666666666667,0.91346747106811,3,0,0,0.000354646634894262,M121T6: C02083,C02083,RC00758,C1b-C1y:*-O2x:C4a+C8y-C1x+C8y C4a-C1x:*-*:C1b+O4a-C1y+O2x O4a-O2x:*-C1y:C4a-C1x,,0
M121T23,121.064674377441,22.6616,544586.75,C02083,120.0575,C8H8O,Styrene oxide,[M+H]+,0,5,Ms2,0.939806496475498,0.957447930370341,0.666666666666667,0.91346747106811,3,0,0,0.000354646634894262,M121T6: C00601,C00601,RC00758,C1b-C1y:*-O2x:C4a+C8y-C1x+C8y C4a-C1x:*-*:C1b+O4a-C1y+O2x O4a-O2x:*-C1y:C4a-C1x,,0
M121T23,121.064674377441,22.6616,544586.75,C20782,120.0575,C8H8O,(S)-2-Phenyloxirane,[M+H]+,0,5,Ms2,0.939806496475498,0.957447930370341,0.666666666666667,0.91346747106811,3,0,0,0.000354646634894262,M121T6: C00601,C00601,RC00758,C1b-C1y:*-O2x:C4a+C8y-C1x+C8y C4a-C1x:*-*:C1b+O4a-C1y+O2x O4a-O2x:*-C1y:C4a-C1x,,0
M121T23,121.064674377441,22.6616,544586.75,C07214,120.0575,C8H8O,2-Methylbenzaldehyde,[M+H]+,0,5,Ms1,0.802550836795701,0.327485206495161,0.111111111111111,0.0625,3,0,0,0.00101596727250519,M137T13: C07215,C07215,RC00075,C4a-C6a:*-O6a:C8y+O4a-C8y+O6a,,0
M121T23,121.064674377441,22.6616,544586.75,C05627,120.0575,C8H8O,4-Hydroxystyrene,[M+H]+,0,5,Ms1,0.0447372710569512,0.0860184731210361,0,0.213261098404211,3,0,0,0.00285227312749825,M183T383: C00811,C00811,RC00814,C2a-C2b:*-C6a:C2b-C2b,,0
M121T23,121.064674377441,22.6616,544586.75,C06758,120.0575,C8H8O,p-Tolualdehyde,[M+H]+,0,5,Ms1,0.802550836795701,0.327485206495161,0.111111111111111,0.0625,3,0,0,0.00101596727250519,M137T13: C01454,C01454,RC00075,C4a-C6a:*-O6a:C8y+O4a-C8y+O6a,,0
M121T23,121.064674377441,22.6616,544586.75,C07209,120.0575,C8H8O,3-Methylbenzaldehyde,[M+H]+,0,5,Ms1,0.802550836795701,0.327485206495161,0.111111111111111,0.0625,3,0,0,0.00101596727250519,M137T13: C07211,C07211,RC00075,C4a-C6a:*-O6a:C8y+O4a-C8y+O6a,,0
M121T23,121.064674377441,22.6616,544586.75,C07113,120.0575,C8H8O,Acetophenone,[M+H]+,0,5,Ms1,0.802550836795701,0.327485206495161,0.111111111111111,0.0625,3,0,0,0.00101596727250519,M137T13: C07189,C07189,RC00157,C1a-C1b:*-O1a:C5a-C5a,,0
M117T24,117.101982116699,24.1769,296589.125,C00990,116.095,C5H12N2O,5-Aminopentanamide,[M+H]+,0,7,Ms1,0,0,0,0.0625,3,0,0,0.00306336425071851,M147T65: C00047,C00047,RC00213,C1c-C5a:C6a+*-*+O5a:C1b+N1a-C1b+N1a,,0
M132T26,132.101699829102,26.2169,375900.21875,C21092,131.0946,C6H13NO2,D-allo-Isoleucine,[M+H]+,0,5,Ms2,1,1,1,1,16,0,0,0.000330854556682469,M132T413: C00407,C00407,RC03345,C1c-C1c:*-*:C1c+C6a+N1a-C1c+C6a+N1a,,0
M132T26,132.101699829102,26.2169,375900.21875,C00123,131.0946,C6H13NO2,L-Leucine,[M+H]+,0,5,Ms2,1,1,1,1,16,0,0,0.000330854556682469,M132T413: C02486,C02486,RC00449,C1b-C1c:*-N1a:C1c+C1c-C1b+C1c C1c-C1b:N1a-*:C1b+C6a-C1c+C6a N1a-N1a:C1c+*-*+C1c:*-*,,0
M132T26,132.101699829102,26.2169,375900.21875,C02486,131.0946,C6H13NO2,(3R)-beta-Leucine,[M+H]+,0,5,Ms2,1,1,1,1,16,0,0,0.000330854556682469,M132T413: C00123,C00123,RC00449,C1b-C1c:*-N1a:C1c+C1c-C1b+C1c C1c-C1b:N1a-*:C1b+C6a-C1c+C6a N1a-N1a:C1c+*-*+C1c:*-*,,0
M132T26,132.101699829102,26.2169,375900.21875,C00407,131.0946,C6H13NO2,L-Isoleucine,[M+H]+,0,5,Ms2,1,1,1,1,16,0,0,0.000330854556682469,M132T413: C21092,C21092,RC03345,C1c-C1c:*-*:C1c+C6a+N1a-C1c+C6a+N1a,,0
M132T26,132.101699829102,26.2169,375900.21875,C02378,131.0946,C6H13NO2,6-Aminohexanoate,[M+H]+,0,5,Ms2,1,1,1,0.0625,16,0,0,0.000542840971560432,M132T729: C06593,C06593,RC00931,C5x-C6a:N1x+*-*+O6a:C1x+O5x-C1b+O6a N1x-N1a:C5x-*:C1x-C1b,,0
M445T29,445.119415283203,28.836,294492.09375,C20656,444.1158,C15H21N6O8P,(L-Prolyl)adenylate,[M+H]+,0,9,Ms1,0,0,0,0.231647908144854,28,0,0,0.00656418818220939,M116T770: C00148,C00148,RC00043,O6a-O7a:*-P1b:C6a-C7a,,0
M313T30,313.234832763672,30.0628,191133.203125,C14765,294.2195,C18H30O3,13-OxoODE,[M+H+H2O]+,0,10,Ms1,0,0,0,0.00390625,5,0,0,0.0158820643483604,M297T1008: C14762,C14762,RC00241,C1c-C5a:*-*:C1b+C2b+O1a-C1b+C2b+O5a,,0
M313T30,313.234832763672,30.0628,191133.203125,C14831,312.2301,C18H32O4,8(R)-HPODE,[M+H]+,0,10,Ms1,0.947186987266123,0.409969010636606,0.25,0.015082363617805,5,0,0,0.00117337675934892,M313T397: C20186,C20186,RC02707,C1b-C1c:*-O1a:C1b+C1b-C1b+C1b O1a-O1a:O2a+*-*+C1c:*-* O2a-O1a:O1a-*:C1c-C1c,,0
M313T30,313.234832763672,30.0628,191133.203125,C19618,312.2301,C18H32O4,"Octadec-9-ene-1,18-dioic-acid",[M+H]+,0,10,Ms1,0,0,0,0.0138872117263281,5,0,0,0.0157096626971169,M297T1008: C19617,C19617,RC00080,C4a-C6a:*-O6a:C1b+O4a-C1b+O6a,,0
M313T30,313.234832763672,30.0628,191133.203125,C14827,312.2301,C18H32O4,9(S)-HPODE,[M+H]+,0,10,Ms1,0.947186987266123,0.409969010636606,0.25,0.00819471990056809,5,0,0,0.00117892827299571,M313T397: C19827,C19827,RC02103,C1b-C2b:*-*:C1b+C1c-C1b+C2b C1c-C2b:C2b-*:C1b+O2a-C2b+O2a C2b-C2b:C1c+*-*+O2a:C2b-C2b O2a-O2a:O1a+*-*+C2b:C1c-C2b,,0
M313T30,313.234832763672,30.0628,191133.203125,C19827,294.2195,C18H30O3,Colneleate,[M+H+H2O]+,0,10,Ms1,0.0495026375120966,0.0940265449688362,0.166666666666667,0.0286564908738295,5,0,0,0.00570848301800297,M313T774: C14827,C14827,RC02103,C1b-C2b:*-*:C1b+C1c-C1b+C2b C1c-C2b:C2b-*:C1b+O2a-C2b+O2a C2b-C2b:C1c+*-*+O2a:C2b-C2b O2a-O2a:O1a+*-*+C2b:C1c-C2b,,0
M313T30,313.234832763672,30.0628,191133.203125,C20186,312.2301,C18H32O4,"5S,8R-DiHODE",[M+H]+,0,10,Ms1,0.947186987266123,0.409969010636606,0.25,0.015082363617805,5,0,0,0.00117337675934892,M313T397: C14831,C14831,RC02707,C1b-C1c:*-O1a:C1b+C1b-C1b+C1b O1a-O1a:O2a+*-*+C1c:*-* O2a-O1a:O1a-*:C1c-C1c,,0
M313T30,313.234832763672,30.0628,191133.203125,C07354,312.2301,C18H32O4,"(7S,8S)-DiHODE",[M+H]+,0,10,Ms1,0.947186987266123,0.409969010636606,0.25,0.015082363617805,5,0,0,0.00117337675934892,M313T397: C14831,C14831,RC01737,C1b-C1c:*-O1a:C1b+C1c-C1b+C1c O1a-O1a:O2a+*-*+C1c:*-* O2a-O1a:O1a-*:C1c-C1c,,0
M137T30,137.059616088867,30.2675,153481.640625,C07189,136.0524,C8H8O2,2-Hydroxyacetophenone,[M+H]+,0,4,Ms1,0.252845157075145,0.857094032950563,0.111111111111111,0.135817709906659,3,0,0,0.000954334719381444,M121T6: C07113,C07113,RC00157,C1a-C1b:*-O1a:C5a-C5a,,0
