id,mz,rt,intensity,KEGGId,exactMass,formula,name,precursorType,ppm,inferLevel,forward,reverse,jaccard,parentTrace,inferSize,score1,score2,pvalue,seed,partnerKEGGId,KEGG_reaction,reaction
M220T367,219.972854451956,366.543816,5103584.788746,C03664,219.9694,C8H6Cl2O3,"2,4-Dichlorophenoxyacetate",[M]+,16,Ms1,0.422098174872802,0.394566335264999,0.111111111111111,1.20495140819884E-07,13,0,0,0.00198249741031509,M181T283: C02625,C02625,RC01372,O1a-O2a:*-C1b:C8y-C8y
M252T45,252.071333553881,45.4021368,1796600.247604,C05648,252.0746,C11H12N2O5,5-Hydroxy-N-formylkynurenine,[M]+,13,Ms1,0.448827098683878,0.20095330544518,0,1.49011611938477E-08,14,0,0,0.00606643055320522,M224T1033: C05651,C05651,RC00263,N1a-N1b:*-C4a:C8y-C8y
M217T271,217.014697084032,270.783444,10054938.55008,C03356,216.0035,C4H9O8P,3-Phospho-D-erythronate,[M+H]+,16,Ms2,0.99986862035025,0.99986862035025,1,0.992535564389676,14,0,0,0.00035375791743486,M217T87: C04309,C04309,RC01099,C1b-C2a:O1a-*:C1c-C2c C1c-C2c:*-*:C1b+C1c+O2b-C2a+C1c+O2b
M208T564,208.039630433648,564.20877,4094282.102118,C17212,208.0405,C7H12O5S,3-(2'-Methylthio)ethylmalic acid,[M]+,4,Ms2,0.993231573214917,0.996068180562811,1,0.855370662693068,14,0,0,0.000303831103063201,M208T678: C17210,C17210,RC00497,C1b-C1c:*-O1a:C1d+C6a-C1c+C6a C1d-C1c:O1a-*:C1b+C1b+C6a-C1b+C1c+C6a O1a-O1a:C1d+*-*+C1c:*-*
M164T959,164.067116469533,959.32998,4131181.43396,C20651,163.0593,C4H9N3O4,O-Ureido-D-serine,[M+H]+,0,Ms2,0.996881422501327,0.997620717992173,0.666666666666667,0.985474581776404,14,0,0,0.000302947338806092,M164T726: C20639,C20639,RC00302,C1c-C1c:*-*:C1b+C6a+N1a-C1b+C6a+N1a
M217T271,217.014697084032,270.783444,10054938.55008,C04309,197.9929,C4H7O7P,Phosphoenol-4-deoxy-3-tetrulosonate,[M+H+H2O]+,16,Ms2,0.99986862035025,0.99986862035025,1,0.992535564389676,14,0,0,0.000354833172254043,M217T87: C03356,C03356,RC01099,C1b-C2a:O1a-*:C1c-C2c C1c-C2c:*-*:C1b+C1c+O2b-C2a+C1c+O2b
M208T564,208.039630433648,564.20877,4094282.102118,C17210,208.0405,C7H12O5S,2-(2'-Methylthio)ethylmalic acid,[M]+,4,Ms2,0.993231573214917,0.996068180562811,1,0.855370662693068,14,0,0,0.000303831103063201,M208T678: C17212,C17212,RC00497,C1b-C1c:*-O1a:C1d+C6a-C1c+C6a C1d-C1c:O1a-*:C1b+C1b+C6a-C1b+C1c+C6a O1a-O1a:C1d+*-*+C1c:*-*
M220T435,219.972823981822,434.938266,4491623.069045,C03664,219.9694,C8H6Cl2O3,"2,4-Dichlorophenoxyacetate",[M]+,16,Ms1,0.0822542602263479,0.211200569972729,0,3.01237852049709E-08,14,0,0,0.00381126576739677,M163T226: C02625,C02625,RC01372,O1a-O2a:*-C1b:C8y-C8y
M164T959,164.067116469533,959.32998,4131181.43396,C20639,163.0593,C4H9N3O4,O-Ureido-L-serine,[M+H]+,0,Ms2,0.996881422501327,0.997620717992173,0.666666666666667,0.985474581776404,14,0,0,0.000302947338806092,M164T726: C20651,C20651,RC00302,C1c-C1c:*-*:C1b+C6a+N1a-C1b+C6a+N1a
M227T842,226.95166015625,842.21148,13356086.65466,C12834,207.933,C6H2Cl2O4,"2,5-Dichloro-carboxymethylenebut-2-en-4-olide",[M+H+H2O]+,1,Ms1,0.56629141039899,0.201932461382988,0,0.00416099886241667,14,0,0,0.00192059440017944,M227T201: C12835,C12835,RC02686,C1c-C2c:*-*:C5a+C6a+X-C2y+C6a+X C5a-C2y:*-*:C1c+C2b+O5a-C2c+C2x+O7x C6a-C7x:O6a+*-*+O7x:C2c+O6a-C2y+O6a O5a-O7x:*-C7x:C5a-C2y
