id,mz,rt,intensity,KEGGId,exactMass,formula,name,precursorType,ppm,inferLevel,forward,reverse,jaccard,parentTrace,inferSize,score1,score2,pvalue,seed,partnerKEGGId,KEGG_reaction,reaction
M217T316,217.014739990234,316.348884,8122572.611984,C03356,216.0035,C4H9O8P,3-Phospho-D-erythronate,[M+H]+,16,Ms2,0.999903304825847,0.999047278251102,1,0.996742314904442,10,0,0,0.000354619615901886,M217T339: C04309,C04309,RC01099,C1b-C2a:O1a-*:C1c-C2c C1c-C2c:*-*:C1b+C1c+O2b-C2a+C1c+O2b
M208T610,208.03966488368,609.86478,3535802.96266,C17212,208.0405,C7H12O5S,3-(2'-Methylthio)ethylmalic acid,[M]+,4,Ms2,0.999179894167359,0.985553339254723,1,0.865768658744426,10,0,0,0.000302342278451162,M208T701: C17210,C17210,RC00497,C1b-C1c:*-O1a:C1d+C6a-C1c+C6a C1d-C1c:O1a-*:C1b+C1b+C6a-C1b+C1c+C6a O1a-O1a:C1d+*-*+C1c:*-*
M217T316,217.014739990234,316.348884,8122572.611984,C04309,197.9929,C4H7O7P,Phosphoenol-4-deoxy-3-tetrulosonate,[M+H+H2O]+,16,Ms2,0.999903304825847,0.999047278251102,1,0.996742314904442,10,0,0,0.000355698803917281,M217T339: C03356,C03356,RC01099,C1b-C2a:O1a-*:C1c-C2c C1c-C2c:*-*:C1b+C1c+O2b-C2a+C1c+O2b
M227T659,226.951686377423,659.0418,4614587.105055,C12834,207.933,C6H2Cl2O4,"2,5-Dichloro-carboxymethylenebut-2-en-4-olide",[M+H+H2O]+,1,Ms2,0.776831770424633,0.713822654195325,0.111111111111111,0.0824210670990263,10,0,0,0.000811100644800611,M227T407: C12835,C12835,RC02686,C1c-C2c:*-*:C5a+C6a+X-C2y+C6a+X C5a-C2y:*-*:C1c+C2b+O5a-C2c+C2x+O7x C6a-C7x:O6a+*-*+O7x:C2c+O6a-C2y+O6a O5a-O7x:*-C7x:C5a-C2y
M192T960,192.062054080745,959.63796,2614930.089247,C17691,192.0634,C7H12O6,2-epi-5-epi-Valiolone,[M]+,7,Ms2,0.951315888214389,0.640283474229675,0.25,0.478994753538375,10,0,0,0.000908848637794613,M192T54: C17694,C17694,RC01519,C1y-C1y:*-*:C1y+C5x+O1a-C1y+C5x+O1a
M164T681,164.067079899949,681.22434,5945318.789884,C20651,163.0593,C4H9N3O4,O-Ureido-D-serine,[M+H]+,0,Ms2,0.999865175021555,0.999865175021555,1,0.995573274122399,10,0,0,0.000270267626051757,M164T636: C20639,C20639,RC00302,C1c-C1c:*-*:C1b+C6a+N1a-C1b+C6a+N1a
M181T43,180.984466552734,42.7313592,6919938.916534,C02625,161.9639,C6H4Cl2O,"2,4-Dichlorophenol",[M+H+H2O]+,12,Ms1,0.664964021482933,0.400172365641452,0.111111111111111,7.71168901247256E-06,10,0,0,0.00139463550091823,M220T90: C03664,C03664,RC01372,O1a-O2a:*-C1b:C8y-C8y
M227T659,226.951686377423,659.0418,4614587.105055,C12835,225.9436,C6H4Cl2O5,"2,5-Dichloro-4-oxohex-2-enedioate",[M+H]+,1,Ms2,0.776831770424633,0.713822654195325,0.111111111111111,0.0824210670990263,10,0,0,0.000807552060058336,M227T407: C12834,C12834,RC02686,C1c-C2c:*-*:C5a+C6a+X-C2y+C6a+X C5a-C2y:*-*:C1c+C2b+O5a-C2c+C2x+O7x C6a-C7x:O6a+*-*+O7x:C2c+O6a-C2y+O6a O5a-O7x:*-C7x:C5a-C2y
M220T298,219.972861923369,298.063176,6429338.922249,C03664,219.9694,C8H6Cl2O3,"2,4-Dichlorophenoxyacetate",[M]+,16,Ms1,0.190569932707158,0.129748697357373,0,7.71168901247256E-06,10,0,0,0.00372706083933894,M163T502: C02625,C02625,RC01372,O1a-O2a:*-C1b:C8y-C8y
M180T970,180.044845581055,970.08972,19684392.89282,C05350,180.0423,C9H8O4,2-Hydroxy-3-(4-hydroxyphenyl)propenoate,[M]+,14,Ms2,0.952771037874602,0.937496448570194,0.666666666666667,0.835019822145806,11,0,0,0.000483778901127385,M180T682: C01179,C01179,RC00507,C1b-C2b:*-*:C5a+C8y-C2c+C8y C5a-C2c:*-*:C1b+C6a+O5a-C2b+C6a+O1a
M224T986,224.076354980469,986.24148,10768398.89731,C05651,224.0797,C10H12N2O4,5-Hydroxykynurenine,[M]+,15,Ms1,0.100926926659543,0.561537981089924,0,9.5367431640625E-07,11,0,0,0.0024512756924342,M252T1115: C05648,C05648,RC00263,N1a-N1b:*-C4a:C8y-C8y
M180T970,180.044845581055,970.08972,19684392.89282,C01179,180.0423,C9H8O4,3-(4-Hydroxyphenyl)pyruvate,[M]+,14,Ms2,0.952771037874602,0.937496448570194,0.666666666666667,0.835019822145806,11,0,0,0.000483778901127385,M180T682: C05350,C05350,RC00507,C1b-C2b:*-*:C5a+C8y-C2c+C8y C5a-C2c:*-*:C1b+C6a+O5a-C2b+C6a+O1a
