xcms_id,mz,rt,rtmin,rtmax,maxInto,nticks,baseline,noise,area,integration,snRatio
M95T62,94.5454,62.13,57.34,66.94,3420000,9,49700,447000,16900824.59375,97.47,-8.4311
M95T63,95.0437,63.35,57.34,70.55,4990000,10,418000,4180000,22517946.5390625,98.93,-10.6519
M250T767,250.1774,766.95,759.69,774.23,1050000,13,182000,2370000,6828088.953125,89.1,-10.1881
M461T795,461.3612,794.77,787.54,798.4,441000,10,53900,539000,1326566.66796875,29.63,-9.8084
M461T886,461.3612,886.36,885.12,892.4,498000,7,53900,377000,1403482.3203125,41.03,-9.1265
M462T21,462.1459,20.82,13.57,28.21,1510000,13,437000,5690000,13331427.3125,27.83,-12.2272
M462T96,462.1459,95.77,88.49,103.12,1530000,13,437000,5690000,13301950.3125,48.86,-11.6644
M96T62,95.5454,62.13,58.54,65.74,474000,7,70800,495000,1727193.8203125,96.97,-8.5384
M251T230,251.1057,229.95,227.51,233.57,221000,6,56500,339000,786943.45703125,100,-8.1284
M251T438,251.125,437.92,435.53,445.22,1430000,6,168000,1010000,3653005.3359375,53.26,-9.8509
M251T438_1,251.125,437.92,435.53,445.22,1430000,6,168000,1010000,3653005.3359375,53.06,-9.8548
M251T666,251.125,666.23,663.83,671.09,1510000,7,168000,1180000,4443105.23828125,42.72,-10.2256
M463T3,463.1453,2.71,0.34,9.91,461000,9,155000,1390000,2853560.375,31.63,-10.6942
M253T57,253.0762,57.34,50.1,64.55,895000,9,41700,375000,3112064.3203125,80.12,-8.4518
M253T242,253.0925,242.02,229.95,249.29,4350000,9,250000,2250000,9271224.18359375,100,-10.0214
M253T254,253.1179,254.16,251.74,257.75,1560000,6,93700,562000,3985867.75390625,39.33,-9.5674
M253T317,253.1179,317.17,315.95,323.16,2300000,7,93700,656000,5919463.39453125,60.5,-9.291
M253T437,253.1405,436.72,424.71,444.02,826000,9,59400,534000,3255649.1328125,77.86,-8.8335
M253T717,253.1405,717.2,714.76,732.99,389000,9,59400,534000,1221671.11132813,20.95,-10.1462
M97T61,97.0447,60.92,59.73,65.74,217000,6,72000,432000,879396.09375,92.36,-8.4501
M254T237,254.0655,237.2,233.57,249.29,217000,6,52500,315000,673736.806640625,100,-8.0546
M467T1044,467.1013,1043.58,1039.87,1048.38,394000,8,45000,360000,1830132.32421875,57.31,-8.7461
M255T62,255.0647,62.13,57.34,65.74,166000,6,48700,292000,592656.744140625,14.31,-9.924
