xcms_id,mz,rt,rtmin,rtmax,maxInto,nticks,baseline,noise,area,integration,snRatio
M494T643,494.31,643.19,635.86,650.5,1580000,13,141000,1840000,8435339.546875,97.59,-9.8438
M764T841,763.5493,841.31,838.79,847.38,2270000,7,273000,1910000,5292572.2890625,100,-9.8592
M495T829,495.3057,829.11,825.43,831.52,203000,6,62900,377000,826963.82421875,41.51,-9.1151
M495T895,495.3057,894.8,892.4,900.84,367000,7,62900,440000,1018476.97070313,55.82,-8.973
M276T82,276.1183,82.46,77.69,87.27,520000,9,100000,901000,1845701.25390625,91.84,-9.1912
M276T82_1,276.1183,82.46,77.69,87.27,520000,9,100000,901000,1845701.25390625,91.84,-9.1912
M276T375,276.2166,375.17,367.92,378.81,1310000,10,102000,1020000,3541544.70703125,95.67,-9.2753
M276T375_1,276.2166,375.17,367.92,378.81,1310000,10,102000,1020000,3541544.70703125,95.67,-9.2753
M114T1047,114.0387,1047.18,1041.08,1048.38,374000,7,42000,294000,1359061.33984375,76.6,-8.2532
M114T78,114.0658,77.69,75.28,84.86,18300000,9,77900,701000,38509215.5859375,100,-8.855
M114T78_1,114.0658,77.69,75.28,84.86,18300000,9,77900,701000,38509215.5859375,100,-8.855
M114T350,114.091,349.77,342.49,357.01,2520000,13,245000,3180000,11695066.9375,53.98,-10.9837
M496T959,496.3388,959.25,955.6,966.54,2000000,10,153000,1530000,7550281.296875,100,-9.6385
M496T959_1,496.3388,959.25,955.6,966.54,2000000,10,153000,1530000,7550281.296875,100,-9.6385
M497T958,497.3423,958.04,956.81,962.9,457000,6,96200,577000,1674646.8046875,100,-8.6603
M278T859,277.6665,859.5,852.26,863.17,362000,9,83900,755000,1539865.390625,61.23,-9.4203
M115T29,115.0363,29.42,22.04,36.73,3240000,13,337000,4380000,28095734,45.57,-11.473
M115T95,115.0363,94.56,87.27,103.12,1720000,14,337000,4720000,13473015.734375,5.57,-13.6487
M115T102,115.0363,101.9,101.9,110.46,1670000,8,337000,2690000,8946884.4375,3.06,-13.6886
M115T121,115.0363,121.46,114.13,128.76,2050000,13,337000,4380000,17091127.8125,41.12,-11.5757
M115T317,115.0751,317.17,312.31,324.37,664000,10,46700,467000,2220255.52734375,71.5,-8.7839
M115T76,115.0862,76.49,75.28,83.66,313000,6,37500,225000,650414.369140625,59.28,-8.2427
M115T76_1,115.0862,76.49,75.28,83.66,313000,6,37500,225000,650414.369140625,56.28,-8.2945
M116T80,116.0701,80.1,76.49,87.27,47700000,10,310000,3100000,132420318.6875,63.87,-10.7898
M116T923,116.0701,922.68,915.37,923.94,1380000,8,310000,2480000,6395607.96875,7.27,-12.7402
M116T923_1,116.0701,922.68,922.68,930.07,1380000,7,310000,2170000,5922803.46875,10.56,-12.2327
M116T981,116.0701,981.2,978.77,995.81,1150000,15,310000,4650000,9396168.03125,2.13,-14.5954
M279T295,279.137,295.34,289.35,297.78,593000,8,71500,572000,2112841.71875,88.32,-8.7764
M279T295_1,279.137,295.34,289.35,299,593000,9,71500,644000,2184373.5703125,88.32,-8.8941
M279T295_2,279.137,295.34,289.35,299,593000,9,71500,644000,2184373.5703125,88.32,-8.8941
M279T1017,279.1586,1016.51,1009.21,1020.18,35100000,10,1140000,11400000,145413935.1875,69.04,-12.013
M279T425,279.1697,424.71,408.99,427.13,3330000,10,174000,1740000,9865316.453125,18.28,-11.4612
M279T438,279.1697,437.92,430.73,441.53,13500000,7,174000,1220000,30680011.5546875,84.15,-9.578
M279T438_1,279.1697,437.92,430.73,445.22,13500000,10,174000,1740000,38242415.8359375,97.34,-9.789
