,rt,into
1,0.272664972,293369
2,0.46004505,429773.19
3,0.594799944,48350.719
4,0.72954294,100403400
5,0.86428902,79189088
6,0.9990420000000001,49628800
7,1.1337909,28938056
8,1.26842208,14894936
9,1.4031710400000001,10559170
10,1.53792114,60831456
11,1.6726679400000002,72557280
12,1.80741402,25018454
13,1.9421650799999999,63012784
14,2.07678912,35192368
15,2.2115470800000003,15645224
16,2.34629508,62312708
17,2.4810471,26328596
18,2.61579198,70691024
19,2.75054304,77923752
20,2.88517206,42437004
21,3.01992294,43594980
22,3.15466902,35456536
23,3.2894210399999997,38453448
24,3.4241709,40211628
25,3.5589169800000002,48806568
26,3.69354198,58487588
27,3.8282989799999996,24711720
28,3.96304914,14151182
29,4.097799,33491632
30,4.2325450799999995,28762384
31,4.3672930800000005,52104152
32,4.5019161,28154496
33,4.63666698,19415038
34,4.77142398,52440584
35,4.906172939999999,77163744
36,5.04091998,44837396
37,5.17567008,67018084
38,5.31029508,34695064
39,5.44504998,35250472
40,5.5798010399999995,33742680
41,5.714552100000001,75178064
42,5.84929794,61320660
43,5.98404996,28400924
44,6.118669199999999,28154484
45,6.2534202,25236366
46,6.388176,43301580
47,6.5229258,38511936
48,6.657678,26667094
49,6.7924218,27522856
50,6.9271709999999995,47411384
51,7.0617942,72659696
52,7.196544,61296664
53,7.3313022000000005,68118720
54,7.4660508000000005,31972770
55,7.600802999999999,36590784
56,7.735422,60652000
57,7.870172999999999,40006936
58,8.0049288,61813308
59,8.139675,42236612
60,8.2744302,50187560
61,8.4091752,48093048
62,8.5438008,4165365
63,8.6785464,26998468
64,8.8132968,56712788
65,8.9480538,3384244
66,9.0828042,13043850
67,9.2175492,515402.25
68,9.352176,9499991
69,9.4869258,1285118.6
70,9.6216702,9688234
71,9.7564218,714101.94
72,9.8911788,7258796
73,10.0259292,397646.16
74,10.1605542,6440483
75,10.2952998,44108.398
76,10.4300502,7771164
77,10.5648048,52590.848
78,10.6995582,11307278
79,10.8343062,94287.469
80,10.9689282,9324006
81,11.1036792,36115.227
82,11.238423000000001,1530686.5
83,11.3731752,81002.367
84,11.507931,1306286.5
85,11.642680200000001,29026.102
86,11.777299800000002,396537.88
87,11.9120532,40392.203
88,12.046802999999999,383426.25
89,12.1815492,89643.656
90,12.316299,221754.5
91,12.451057200000001,149236.06
92,12.5856828,77740.109
93,12.720430799999999,46825.957
94,12.855177,34166.84
95,12.989931,23261.59
96,13.1246742,34815.348
97,13.408941,281279.66
98,13.5435558,37345.305
99,13.678306800000001,83676.766
100,13.813053,210040.42
101,13.947804,86646.188
102,14.082558,53736.219
103,14.2173078,47855.031
104,14.351928,55067
105,14.4866808,71128.961
106,14.6214318,53919.703
107,14.7561774,35803.203
108,14.8909272,74784.336
109,15.0256788,116428.11
110,15.1603092,69042.828
111,15.295060199999998,123361.41
112,15.429805199999999,109914.99
113,15.564556200000002,42992.227
114,15.6993012,67208.43
115,15.8340522,148254.64
116,15.968684999999999,263070.09
117,16.1034342,58818.828
118,16.238184,50380.469
119,16.3729308,58621.684
120,16.507681199999997,90668.914
121,16.6424358,55871.773
122,16.777060199999998,97864.047
123,16.911805800000003,110622.51
