String
error_log
a_d_sampling_rate
a_d_coaddition_factor
scan_acquisition_time
scan_duration
inter_scan_time
resolution
actual_scan_number
total_intensity
mass_range_min
mass_range_max
time_range_min
time_range_max
scan_index
point_count
flag_count
mass_values
intensity_values
