,physic_x,physic_y,block_x,block_y,r,g,b,black_pixels,black_density,black_ratio,#8230b8_pixels,#8230b8_density,#8230b8_ratio
"61,1",61,1,6,0,215.39,171.37,233.19,0,0,0,0,0,0
"61,11",61,11,6,1,236.04,183.09,233.84,0,0,0,0,0,0
"61,21",61,21,6,2,215.99,110.82,215.95,0,0,0,0,0,0
"61,31",61,31,6,3,211.99,88.38,211.85,0,0,0,0,0,0
"61,41",61,41,6,4,221.95,98.73,214.85,0,0,0,0,0,0
"61,51",61,51,6,5,220.03,93.35,217.33,0,0,0,0,0,0
"61,61",61,61,6,6,225.55,120.91,222.85,0,0,0,0,0,0
"61,71",61,71,6,7,229.93,139.09,226.6,0,0,0,0,0,0
"61,81",61,81,6,8,237.94,172.51,237.93,0,0,0,0,0,0
"61,91",61,91,6,9,235.4,191.28,237.27,0,0,0,0,0,0
"61,101",61,101,6,10,188.58,106.07,209.4,0,0,0,3,0.12,0.03
"61,111",61,111,6,11,193.49,83.01,206.97,0,0,0,0,0,0
"61,121",61,121,6,12,216.33,103.84,213.51,0,0,0,0,0,0
"61,131",61,131,6,13,181.1,72.14,198.3,0,0,0,0,0,0
"61,141",61,141,6,14,175.47,70.54,194.23,0,0,0,0,0,0
"61,151",61,151,6,15,192.79,91.17,204.94,0,0,0,0,0,0
"61,161",61,161,6,16,200.83,109.72,213.97,0,0,0,0,0,0
"61,171",61,171,6,17,251.56,245.2,248.93,0,0,0,0,0,0
"61,181",61,181,6,18,250.83,245.01,248.66,0,0,0,0,0,0
"61,191",61,191,6,19,252.71,248.19,252.97,0,0,0,0,0,0
"61,201",61,201,6,20,252.07,244.68,252.3,0,0,0,0,0,0
"61,211",61,211,6,21,252.49,247.02,253.2,0,0,0,0,0,0
"61,221",61,221,6,22,252.82,246.72,253.15,0,0,0,0,0,0
"61,231",61,231,6,23,252.91,248,253.88,0,0,0,0,0,0
"61,241",61,241,6,24,251.91,247.71,253.2,0,0,0,0,0,0
"61,251",61,251,6,25,252.86,248.5,253.9,0,0,0,0,0,0
"61,261",61,261,6,26,252.69,246.31,252.61,0,0,0,0,0,0
"61,271",61,271,6,27,251.43,247.13,251.6,0,0,0,0,0,0
"61,281",61,281,6,28,232.08,178.71,231.73,0,0,0,0,0,0
"61,291",61,291,6,29,222.01,106.05,224.08,0,0,0,0,0,0
"61,301",61,301,6,30,216.57,99.54,219.97,0,0,0,0,0,0
"61,311",61,311,6,31,204.11,78.72,213.69,0,0,0,0,0,0
"61,321",61,321,6,32,211.35,90.62,217.97,0,0,0,0,0,0
"61,331",61,331,6,33,231.6,113.86,221.64,0,0,0,0,0,0
"61,341",61,341,6,34,231.86,143.42,230.39,0,0,0,0,0,0
"61,351",61,351,6,35,235.32,167.77,229.78,0,0,0,0,0,0
"61,361",61,361,6,36,227.11,135.98,225.41,0,0,0,0,0,0
"61,371",61,371,6,37,224.91,127.45,215.38,0,0,0,0,0,0
"61,381",61,381,6,38,179.69,63.73,187.18,0,0,0,0,0,0
"61,391",61,391,6,39,169.72,52.52,176.87,0,0,0,0,0,0
"61,401",61,401,6,40,173.04,54.88,186.92,0,0,0,0,0,0
"61,411",61,411,6,41,201.45,79.33,204.17,0,0,0,0,0,0
"61,421",61,421,6,42,230.98,96.01,212.08,0,0,0,0,0,0
"61,431",61,431,6,43,221.1,95.96,216.72,0,0,0,0,0,0
"61,441",61,441,6,44,242.18,195.33,235.56,0,0,0,0,0,0
"61,451",61,451,6,45,148.28,74.89,185.96,0,0,0,14,0.19,0.14
"61,461",61,461,6,46,158.35,78.4,206.37,0,0,0,15,0.48,0.15
"61,471",61,471,6,47,203.86,156.18,228.73,0,0,0,0,0,0
"61,481",61,481,6,48,238.86,209.32,240.98,0,0,0,0,0,0
"61,491",61,491,6,49,216.87,101.34,218.47,0,0,0,0,0,0
"61,501",61,501,6,50,225.16,106.87,218.32,0,0,0,0,0,0
"61,511",61,511,6,51,217.89,95.94,217.34,0,0,0,0,0,0
"61,521",61,521,6,52,225.8,112.46,222.82,0,0,0,0,0,0
"61,531",61,531,6,53,226.75,121.38,224.61,0,0,0,0,0,0
"61,541",61,541,6,54,226.95,119.05,225.71,0,0,0,0,0,0
"61,551",61,551,6,55,226.87,152.12,232.8,0,0,0,0,0,0
"61,561",61,561,6,56,217.76,134.88,221.62,0,0,0,0,0,0
"61,571",61,571,6,57,212.97,72.32,201.66,0,0,0,0,0,0
"61,581",61,581,6,58,201.35,64.1,189.88,0,0,0,0,0,0
"61,591",61,591,6,59,205.8,76.07,200.1,0,0,0,0,0,0
"61,601",61,601,6,60,218.17777777777778,123,217.4,0,0,0,0,0,0
"71,1",71,1,7,0,242.75,196.33,243.22,0,0,0,0,0,0
"71,11",71,11,7,1,237.7,175.49,235.61,0,0,0,0,0,0
"71,21",71,21,7,2,217.15,111.79,221.2,0,0,0,0,0,0
"71,31",71,31,7,3,218.27,96.07,217.25,0,0,0,0,0,0
"71,41",71,41,7,4,222.7,98.36,216.29,0,0,0,0,0,0
"71,51",71,51,7,5,224.87,105.43,220.87,0,0,0,0,0,0
