,physic_x,physic_y,block_x,block_y,r,g,b,black_pixels,black_density,black_ratio,#8230b8_pixels,#8230b8_density,#8230b8_ratio
"21,401",21,401,2,40,187.75,90.95,213.01,0,0,0,0,0,0
"21,411",21,411,2,41,220.87,126.43,227.34,0,0,0,0,0,0
"21,421",21,421,2,42,175.6,77.86,202.74,0,0,0,0,0,0
"21,431",21,431,2,43,163.47,61.37,200.16,0,0,0,0,0,0
"21,441",21,441,2,44,229.97,132.14,226.58,0,0,0,0,0,0
"21,451",21,451,2,45,233.16,140.57,227.24,0,0,0,0,0,0
"21,461",21,461,2,46,228.6,128.15,221.31,0,0,0,0,0,0
"21,471",21,471,2,47,224.57,106.48,208.71,0,0,0,0,0,0
"21,481",21,481,2,48,197.53,89.74,199.15,0,0,0,0,0,0
"21,491",21,491,2,49,160.9,70.08,192.27,0,0,0,7,0.11000000000000001,0.07
"21,501",21,501,2,50,221.66,155.62,227.42,0,0,0,3,0.04,0.03
"21,511",21,511,2,51,223.91,133.76,224.48,0,0,0,0,0,0
"21,521",21,521,2,52,233.08,138.88,233.38,0,0,0,0,0,0
"21,531",21,531,2,53,240.56,193.04,243.07,0,0,0,0,0,0
"21,541",21,541,2,54,240.24,195.7,238.31,0,0,0,0,0,0
"21,551",21,551,2,55,210.09,104.36,215.8,0,0,0,0,0,0
"21,561",21,561,2,56,179.07,69.07,209.11,0,0,0,0,0,0
"21,571",21,571,2,57,221.26,99.01,223.97,0,0,0,0,0,0
"21,581",21,581,2,58,222.87,125.64,229.35,0,0,0,0,0,0
"21,591",21,591,2,59,238.33,170.1,241.67,0,0,0,0,0,0
"21,601",21,601,2,60,220.24444444444444,151.61111111111111,231.51111111111112,0,0,0,0,0,0
"31,1",31,1,3,0,229.14,117.89,213.81,0,0,0,0,0,0
"31,11",31,11,3,1,214.23,95.63,203.95,0,0,0,0,0,0
"31,21",31,21,3,2,228.76,119.11,218.59,0,0,0,0,0,0
"31,31",31,31,3,3,226.08,108.87,215.21,0,0,0,0,0,0
"31,41",31,41,3,4,226.26,104.85,220.48,0,0,0,0,0,0
"31,51",31,51,3,5,220.18,118.34,222.21,0,0,0,0,0,0
"31,61",31,61,3,6,243.24,207.71,242.03,0,0,0,0,0,0
"31,71",31,71,3,7,248.29,228.55,249.14,0,0,0,0,0,0
"31,81",31,81,3,8,249.6,227.69,247,0,0,0,0,0,0
"31,91",31,91,3,9,247.36,222.65,245.36,0,0,0,0,0,0
"31,101",31,101,3,10,229.63,187.6,240.02,0,0,0,0,0,0
