,Cluster,x,y
"331,671",-1,331,671
"335,667",-1,335,667
"335,669",-1,335,669
"337,668",-1,337,668
"339,663",-1,339,663
"348,265",-1,348,265
"348,462",-1,348,462
"350,262",-1,350,262
"354,728",-1,354,728
"359,904",-1,359,904
"362,890",-1,362,890
"366,843",-1,366,843
"374,805",-1,374,805
"376,818",-1,376,818
"377,805",-1,377,805
"377,812",-1,377,812
"378,257",-1,378,257
"379,813",-1,379,813
"382,258",-1,382,258
"383,259",-1,383,259
"388,207",-1,388,207
"396,846",-1,396,846
"398,845",-1,398,845
"401,206",-1,401,206
"404,121",-1,404,121
"407,801",-1,407,801
"412,297",-1,412,297
"414,77",-1,414,77
"415,873",-1,415,873
"416,289",-1,416,289
"418,861",-1,418,861
"418,872",-1,418,872
"419,520",-1,419,520
"424,868",-1,424,868
"424,870",-1,424,870
"428,533",-1,428,533
"431,533",-1,431,533
"440,598",-1,440,598
"446,593",-1,446,593
"449,656",-1,449,656
"450,643",-1,450,643
"451,47",-1,451,47
"451,286",-1,451,286
"452,46",-1,452,46
"457,575",-1,457,575
"458,583",-1,458,583
"459,634",-1,459,634
"460,579",-1,460,579
"461,576",-1,461,576
"461,578",-1,461,578
"462,40",-1,462,40
"466,604",-1,466,604
"467,572",-1,467,572
"469,575",-1,469,575
"471,303",-1,471,303
"474,304",-1,474,304
"481,493",-1,481,493
"484,502",-1,484,502
"501,272",-1,501,272
"503,266",-1,503,266
"506,302",-1,506,302
"527,681",-1,527,681
"529,47",-1,529,47
"531,501",-1,531,501
"533,892",-1,533,892
"533,904",-1,533,904
"535,587",-1,535,587
"535,653",-1,535,653
"535,889",-1,535,889
"537,585",-1,537,585
"537,653",-1,537,653
"538,468",-1,538,468
"538,586",-1,538,586
"544,565",-1,544,565
"548,644",-1,548,644
"553,26",-1,553,26
"555,31",-1,555,31
"555,463",-1,555,463
"559,33",-1,559,33
"562,34",-1,562,34
"563,925",-1,563,925
"565,19",-1,565,19
"567,209",-1,567,209
"572,217",-1,572,217
"572,259",-1,572,259
"573,267",-1,573,267
"577,576",-1,577,576
"580,523",-1,580,523
"582,638",-1,582,638
"584,638",-1,584,638
"585,633",-1,585,633
"586,42",-1,586,42
"590,248",-1,590,248
"590,628",-1,590,628
"592,619",-1,592,619
"595,710",-1,595,710
"597,249",-1,597,249
"601,611",-1,601,611
"608,569",-1,608,569
"619,19",-1,619,19
"619,569",-1,619,569
"620,568",-1,620,568
"623,557",-1,623,557
"624,558",-1,624,558
"627,851",-1,627,851
"628,212",-1,628,212
"628,288",-1,628,288
"629,217",-1,629,217
"629,312",-1,629,312
"630,216",-1,630,216
"630,220",-1,630,220
"631,222",-1,631,222
"633,877",-1,633,877
"636,873",-1,636,873
"637,288",-1,637,288
"637,776",-1,637,776
"637,875",-1,637,875
"638,289",-1,638,289
"638,295",-1,638,295
"638,873",-1,638,873
"639,893",-1,639,893
"640,687",-1,640,687
"640,892",-1,640,892
"640,896",-1,640,896
"641,301",-1,641,301
